ρ = 4.0
Structure Factor Toggle = false
Tmp Path = ./Cor-S-SOS-Comp
Iterations = 3000
k_max = 20
Exp G Toggle = false
Heaviside Toggle = true
After iteration 0, the error is 2.723975e-5.
Converged after 3 iterations, the error is 1.7e-11.
  3.086783 seconds (3.03 M allocations: 199.384 MiB, 1.90% gc time, 99.95% compilation time)
512 10.407368 seconds (1.18 G allocations: 20.841 GiB, 23.00% gc time, 3242.42% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     9.964569e+02              NaN
     2     9.966102e+02     9.986735e+05
     3     9.776175e+02     1.204914e+06
     4     4.969630e+02     2.483285e+05
     5     3.793991e+02     1.442959e+05
     6     2.351375e+02     5.550883e+04
     7     1.042318e+02     1.962341e+04
     8     1.324171e+02     3.113777e+04
     9     2.121782e+01     7.135144e+02
    10     3.080915e+01     1.412324e+03
    11     2.052178e+01     8.610932e+02
    12     3.377222e+01     1.459113e+03
    13     1.293500e+01     4.366898e+02
    14     1.697283e+02     2.914249e+04
    15     2.852060e+01     9.212862e+02
    16     3.552319e+01     1.348598e+03
    17     2.228071e+01     6.108980e+02
    18     8.573024e+00     1.513497e+02
    19     1.845934e+01     4.297918e+02
    20     8.789536e+00     1.621421e+02
    21     1.432726e+01     3.224415e+02
    22     1.704604e+01     4.228282e+02
    23     7.687135e+00     2.012601e+02
    24     7.686813e+00     1.674545e+02
    25     1.075171e+01     2.495102e+02
    26     1.215968e+01     2.738772e+02
    27     3.331059e+02     1.110114e+05
    28     3.765688e+01     1.491744e+03
    29     1.170434e+01     2.787752e+02
    30     1.381227e+02     1.914257e+04
    31     1.429032e+02     2.045635e+04
    32     8.503789e+00     2.137948e+02
    33     1.814731e+01     4.321387e+02
    34     1.313307e+01     2.192587e+02
    35     2.268946e+01     6.086335e+02
    36     2.570107e+01     6.832784e+02
    37     1.244674e+01     1.662480e+02
    38     7.974421e+00     8.152219e+01
    39     1.160621e+01     1.937139e+02
    40     1.237057e+01     1.764063e+02
    41     2.343358e+01     5.737814e+02
    42     1.094827e+02     1.199815e+04
    43     1.441394e+01     2.178593e+02
    44     1.364631e+01     2.494053e+02
    45     1.428203e+01     2.168896e+02
    46     1.482606e+01     2.242792e+02
    47     4.651305e+01     2.167755e+03
    48     4.545072e+01     2.066457e+03
    49     1.493122e+02     2.229414e+04
    50     7.705159e+02     5.936951e+05
    51     1.120837e+02     1.256277e+04
    52     9.025744e+01     8.146405e+03
    53     8.882533e+01     7.889940e+03
    54     8.839776e+01     7.814164e+03
    55     8.174398e+01     6.682079e+03
    56     7.223410e+01     5.217765e+03
    57     3.909737e+01     1.528605e+03
    58     4.177644e+01     1.745271e+03
    59     4.260816e+01     1.815456e+03
    60     1.544995e+00     5.386579e+00
    61     2.272310e+01     5.163492e+02
    62     2.173991e+01     4.726374e+02
    63     6.314022e+01     3.986899e+03
    64     2.040776e+01     4.164899e+02
    65     3.686833e+01     2.247236e+03
    66     1.008909e+01     1.021798e+02
    67     3.492265e+01     1.545606e+03
    68     7.143967e+01     7.472201e+03
    69     1.824851e+01     3.330640e+02
    70     3.535159e+00     1.398609e+01
    71     4.646468e+00     2.388825e+01
    72     1.250113e+02     1.573973e+04
    73     5.535697e+02     4.389891e+05
    74     7.987610e+02     9.268333e+05
    75     3.441720e+02     1.771932e+05
    76     1.988287e+02     5.884871e+04
    77     3.208202e+01     2.185704e+03
    78     1.442271e+01     5.521477e+02
    79     1.005006e+01     3.202493e+02
    80     2.293064e+01     8.621708e+02
    81     3.267936e+01     1.332828e+03
    82     1.990210e+01     5.342470e+02
    83     1.185343e+01     3.694401e+02
    84     5.270790e+02     2.779196e+05
    85     2.206073e+01     5.403130e+02
    86     1.772005e+01     4.553096e+02
    87     1.195047e+01     2.525434e+02
    88     5.713273e+00     9.511874e+01
    89     1.991810e+01     4.697889e+02
    90     1.026282e+01     2.403437e+02
    91     1.243048e+01     3.231092e+02
    92     4.413073e+01     1.989322e+03
    93     1.463097e+01     5.509052e+02
    94     1.131126e+01     3.035938e+02
    95     1.324246e+01     4.164718e+02
    96     1.646452e+01     5.408455e+02
    97     1.449874e+01     4.701491e+02
    98     1.039127e+01     3.509414e+02
    99     1.412884e+01     2.752704e+02
   100     1.033410e+01     1.211758e+02
   101     9.016577e+01     8.338111e+03
   102     1.791645e+01     5.278635e+02
   103     1.393292e+01     2.554203e+02
   104     2.198150e+01     5.641537e+02
   105     7.246783e+01     5.333304e+03
   106     2.778497e+01     9.180889e+02
   107     1.488863e+01     2.993116e+02
   108     6.329333e+01     4.039236e+03
   109     8.615913e+00     1.562697e+02
   110     8.802948e+00     1.274685e+02
   111     2.113269e+01     4.524149e+02
   112     2.816180e+01     8.002978e+02
   113     8.519638e+00     8.533331e+01
   114     7.576860e+00     6.774626e+01
   115     3.408431e+01     1.172925e+03
   116     2.053378e+01     4.280738e+02
   117     4.649336e+01     2.170837e+03
   118     3.400167e+01     1.171773e+03
   119     1.203161e+01     1.684113e+02
   120     1.238644e+01     1.543717e+02
   121     9.146432e+00     8.862129e+01
   122     3.794491e+01     2.206746e+03
   123     1.993110e+01     5.679614e+02
   124     1.187956e+02     1.416786e+04
   125     1.283983e+02     2.092553e+04
   126     1.484347e+01     2.420250e+02
   127     1.143926e+01     1.724115e+02
   128     2.301311e+01     5.791320e+02
   129     1.646422e+02     2.720187e+04
   130     3.649679e+01     1.460259e+03
   131     1.132523e+01     2.348197e+02
   132     2.954647e+02     8.739508e+04
   133     1.162513e+01     2.192613e+02
   134     2.518403e+01     9.765102e+02
   135     1.206467e+01     2.488182e+02
   136     1.132784e+02     1.284901e+04
   137     9.049692e+00     1.585191e+02
   138     1.834574e+01     4.112996e+02
   139     3.842850e+01     1.605643e+03
   140     1.937917e+01     5.446517e+02
   141     4.011017e+02     1.609917e+05
   142     9.119666e+01     8.528079e+03
   143     1.306061e+01     2.367790e+02
   144     1.119594e+01     1.545199e+02
   145     1.017747e+01     1.452343e+02
   146     6.112988e+01     3.874321e+03
   147     2.028608e+01     4.440069e+02
   148     4.937387e+01     2.591643e+03
   149     3.069511e+01     1.068539e+03
   150     4.325968e+01     1.984939e+03
   151     1.827464e+01     3.912609e+02
   152     1.247277e+01     2.627379e+02
   153     3.398212e+01     1.250657e+03
   154     2.484005e+01     7.299107e+02
   155     1.099127e+01     2.017387e+02
   156     4.252506e+01     1.908015e+03
   157     1.942285e+01     5.304741e+02
   158     4.692671e+01     2.322861e+03
   159     9.959043e+00     1.763106e+02
   160     1.880171e+01     5.358296e+02
   161     3.133673e+01     1.046994e+03
   162     3.802965e+01     1.482007e+03
   163     1.140903e+02     1.309786e+04
   164     1.084104e+01     2.335578e+02
   165     1.051947e+01     2.415743e+02
   166     1.509137e+01     3.296297e+02
   167     1.541658e+01     3.378266e+02
   168     2.415092e+01     7.195780e+02
   169     2.767250e+01     9.086011e+02
   170     1.336985e+01     3.429702e+02
   171     9.996385e+00     2.331061e+02
   172     2.091642e+01     5.055892e+02
   173     1.728374e+01     3.561208e+02
   174     2.850206e+02     8.130780e+04
   175     1.266111e+01     2.675828e+02
   176     1.223138e+01     2.417277e+02
   177     3.121395e+01     1.031278e+03
   178     6.636669e+01     4.601593e+03
   179     1.852490e+01     7.199990e+02
   180     7.098138e+00     9.968399e+01
   181     3.009880e+01     9.585344e+02
   182     1.776478e+01     3.420558e+02
   183     2.847242e+01     8.453991e+02
   184     2.545669e+01     6.791315e+02
   185     1.439939e+02     2.074715e+04
   186     2.160899e+02     4.671413e+04
   187     3.422485e+01     1.186545e+03
   188     8.119969e+01     6.602953e+03
   189     1.946879e+01     3.982133e+02
   190     1.233590e+01     1.774174e+02
   191     1.656538e+01     3.059007e+02
   192     2.487513e+01     6.344705e+02
   193     5.597133e+01     3.354712e+03
   194     9.683434e+01     1.687790e+04
   195     7.344833e+01     5.414448e+03
   196     2.938633e+01     1.407789e+03
   197     3.729463e+01     1.821662e+03
   198     1.582643e+01     3.250397e+02
   199     1.331816e+01     3.017049e+02
   200     1.849977e+01     5.070266e+02
   201     3.661313e+01     1.489392e+03
   202     2.485691e+01     6.485794e+02
   203     2.614497e+01     7.510051e+02
   204     1.054416e+01     2.022820e+02
   205     1.620572e+01     2.732117e+02
   206     1.108818e+01     1.582457e+02
   207     2.637411e+02     6.959662e+04
   208     1.198055e+02     3.221548e+04
   209     4.571513e+01     3.971293e+03
   210     1.866552e+01     4.102687e+02
   211     2.653287e+01     7.547015e+02
   212     1.879054e+01     3.797225e+02
   213     2.508580e+01     7.900240e+02
   214     1.556913e+01     4.405343e+02
   215     1.772159e+01     4.674639e+02
   216     1.584953e+01     3.823039e+02
   217     3.594862e+01     1.320293e+03
   218     7.230277e+00     1.043530e+02
   219     1.182451e+01     2.453956e+02
   220     1.358460e+01     2.886924e+02
   221     2.889263e+01     1.057045e+03
   222     4.321258e+01     2.101289e+03
   223     1.610292e+02     2.612461e+04
   224     1.892454e+01     4.807432e+02
   225     5.567140e+01     3.156763e+03
   226     4.460960e+01     2.133370e+03
   227     1.742797e+01     4.532134e+02
   228     8.421166e+01     7.235529e+03
   229     1.598687e+01     4.254035e+02
   230     1.178588e+01     2.207604e+02
   231     3.742448e+01     1.518967e+03
   232     1.573876e+02     2.492169e+04
   233     3.715908e+01     1.575090e+03
   234     1.125460e+01     2.807240e+02
   235     7.479675e+00     1.496644e+02
   236     5.005427e+01     2.647511e+03
   237     2.062249e+01     9.327583e+02
   238     6.310953e+01     4.221477e+03
   239     1.531730e+01     4.159735e+02
   240     1.777391e+01     5.800864e+02
   241     2.952368e+01     1.119859e+03
   242     3.902629e+02     1.527015e+05
   243     1.293132e+01     5.302068e+02
   244     4.969578e+02     2.472155e+05
   245     1.938749e+02     3.771943e+04
   246     1.885877e+01     7.178104e+02
   247     1.898715e+01     5.534590e+02
   248     9.802771e+01     9.717435e+03
   249     2.976869e+01     1.096149e+03
   250     1.610553e+01     4.940040e+02
   251     1.687861e+01     7.539276e+02
   252     7.516610e+00     1.388170e+02
   253     4.909327e+01     2.603466e+03
   254     1.014010e+01     3.260344e+02
   255     3.226543e+01     1.175213e+03
   256     1.766202e+01     4.689686e+02
   257     5.203676e+01     2.818573e+03
   258     1.632464e+01     3.884394e+02
   259     1.145020e+01     2.012059e+02
   260     2.253851e+01     6.452981e+02
   261     2.901774e+01     9.918570e+02
   262     1.355303e+02     1.848529e+04
   263     1.307457e+01     2.513711e+02
   264     2.381267e+02     5.677404e+04
   265     2.638993e+01     9.193241e+02
   266     1.100905e+02     1.232704e+04
   267     2.391753e+01     6.878513e+02
   268     1.035572e+02     1.080054e+04
   269     1.023545e+02     1.055606e+04
   270     3.159962e+01     1.172184e+03
   271     2.007883e+01     5.380227e+02
   272     1.870831e+01     6.415297e+02
   273     3.998389e+01     1.834541e+03
   274     2.568251e+01     8.688867e+02
   275     1.404099e+01     6.079607e+02
   276     1.421823e+01     5.283069e+02
   277     5.088044e+01     2.949394e+03
   278     2.096927e+01     1.087057e+03
   279     9.638530e+01     9.749146e+03
   280     2.180600e+01     9.522335e+02
   281     1.448962e+01     2.967829e+02
   282     1.164568e+01     3.403708e+02
   283     1.087281e+01     3.083133e+02
   284     9.776106e+00     2.751419e+02
   285     2.821583e+01     1.105230e+03
   286     1.549850e+02     2.430614e+04
   287     1.317347e+01     3.892078e+02
   288     1.534263e+01     3.548306e+02
   289     2.676085e+01     7.857320e+02
   290     1.668115e+01     3.521733e+02
   291     1.231299e+01     2.734558e+02
   292     1.937741e+01     4.656825e+02
   293     3.589059e+01     1.376689e+03
   294     1.506683e+01     3.313114e+02
   295     1.425352e+01     3.175545e+02
   296     1.697914e+01     3.747226e+02
   297     2.761035e+01     8.058291e+02
   298     1.144398e+01     1.560290e+02
   299     1.109603e+01     1.815508e+02
   300     2.244494e+02     5.051178e+04
   301     6.154142e+01     3.899104e+03
   302     1.125478e+01     2.681153e+02
   303     1.891750e+01     5.366112e+02
   304     2.770432e+02     7.680545e+04
   305     2.290134e+01     5.562074e+02
   306     2.928390e+01     9.199376e+02
   307     2.544703e+01     6.685669e+02
   308     1.883980e+01     3.851148e+02
   309     4.874538e+01     2.390644e+03
   310     1.967628e+02     3.879095e+04
   311     2.346113e+01     5.701804e+02
   312     1.682384e+02     2.839510e+04
   313     1.023279e+01     2.302752e+02
   314     2.326677e+02     5.424300e+04
   315     5.387490e+01     3.039601e+03
   316     4.173185e+01     1.889165e+03
   317     1.279712e+01     3.394863e+02
   318     1.095820e+01     2.545923e+02
   319     1.315766e+01     3.254090e+02
   320     1.322942e+01     3.033984e+02
   321     4.234240e+01     1.895533e+03
   322     1.124617e+01     2.995642e+02
   323     1.189843e+01     3.278319e+02
   324     1.433124e+01     2.692942e+02
   325     1.242255e+01     2.389637e+02
   326     1.362182e+01     2.215612e+02
   327     1.602382e+01     3.121534e+02
   328     9.022309e+01     8.172804e+03
   329     1.426432e+01     3.472866e+02
   330     1.425228e+01     4.299808e+02
   331     1.786668e+01     4.771176e+02
   332     3.416352e+01     1.297911e+03
   333     2.158142e+01     5.015903e+02
   334     2.546922e+01     7.548854e+02
   335     1.633689e+01     2.742151e+02
   336     1.600010e+01     2.851425e+02
   337     2.489476e+01     6.328213e+02
   338     1.512545e+01     4.019652e+02
   339     1.768531e+01     3.869562e+02
   340     3.478358e+01     1.210584e+03
   341     5.737800e+01     3.295862e+03
   342     6.493387e+00     5.142928e+01
   343     6.925606e+01     4.800640e+03
   344     2.540941e+00     1.325072e+01
   345     6.709632e+01     4.506254e+03
   346     6.742430e+01     4.567969e+03
   347     2.745508e+02     7.882101e+04
   348     1.173347e+02     2.020505e+04
   349     6.112991e+00     6.522747e+01
   350     1.163615e+02     1.380787e+04
   351     6.729910e+01     4.881072e+03
   352     6.448269e+01     7.139444e+03
   353     1.651468e+01     3.258114e+02
   354     4.224578e+00     3.142372e+01
   355     5.887103e+00     6.875969e+01
   356     2.356009e+01     6.083309e+02
   357     2.187529e+01     5.289688e+02
   358     1.018058e+01     1.037140e+02
   359     7.531287e+00     5.686833e+01
   360     7.351328e+00     5.438599e+01
   361     5.260798e+00     2.801594e+01
   362     3.151897e+02     9.957896e+04
   363     2.048686e+00     4.383233e+00
   364     4.917218e+00     2.496472e+01
   365     3.265700e+00     1.094437e+01
   366     4.461421e-01     3.722769e-01
   367     1.398835e+01     1.958995e+02
   368     2.976281e+01     2.375113e+03
   369     9.269990e+00     1.102206e+02
   370     1.655451e+02     4.274586e+04
   371     3.957471e+01     3.712219e+03
   372     1.008517e+02     1.246246e+04
   373     1.256204e+01     2.920949e+02
   374     2.362584e+01     7.364545e+02
   375     1.306454e+01     3.721931e+02
   376     1.904060e+01     4.672372e+02
   377     1.222296e+01     2.960928e+02
   378     1.028081e+01     1.776618e+02
   379     1.432628e+01     3.248122e+02
   380     1.485836e+01     2.643068e+02
   381     2.422638e+01     7.490254e+02
   382     1.201358e+02     1.458347e+04
   383     1.008615e+02     1.018414e+04
   384     2.602054e+01     7.883947e+02
   385     6.798459e+01     4.698466e+03
   386     1.494402e+01     3.681299e+02
   387     1.204425e+01     2.102381e+02
   388     3.551015e+01     1.281182e+03
   389     2.377371e+01     5.951752e+02
   390     9.370258e+01     8.812709e+03
   391     9.606847e+00     2.749984e+02
   392     8.364840e+00     1.445488e+02
   393     1.061221e+01     1.482780e+02
   394     1.151994e+01     1.680819e+02
   395     1.735511e+02     3.252192e+04
   396     3.358334e+01     1.174831e+03
   397     1.306589e+01     4.399209e+02
   398     2.417032e+02     5.875931e+04
   399     1.439862e+01     5.157646e+02
   400     5.816269e+01     3.503901e+03
   401     6.095419e+00     1.046899e+02
   402     1.158595e+01     3.010458e+02
   403     1.339051e+01     3.816985e+02
   404     8.336096e+00     1.907542e+02
   405     4.588269e+01     2.196532e+03
   406     1.583789e+02     2.515675e+04
   407     4.017546e+01     1.672216e+03
   408     1.203869e+01     1.847440e+02
   409     1.247867e+01     2.622151e+02
   410     2.255165e+01     6.058031e+02
