ρ = 7.0
Structure Factor Toggle = false
Tmp Path = ./Cor-S-SOS-Comp
Iterations = 3000
k_max = 20
Exp G Toggle = false
Heaviside Toggle = true
After iteration 0, the error is 6.525006e-5.
Converged after 4 iterations, the error is 2.1e-13.
  2.870147 seconds (3.03 M allocations: 199.424 MiB, 3.37% gc time, 99.94% compilation time)
512  7.616180 seconds (1.18 G allocations: 20.841 GiB, 26.02% gc time, 2900.22% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     2.386295e+02              NaN
     2     2.391320e+02     6.147504e+04
     3     1.154826e+02     1.395146e+04
     4     9.429169e+01     1.070166e+04
     5     2.211164e+02     5.594961e+04
     6     7.935328e+01     7.634498e+03
     7     9.014388e+01     1.263390e+04
     8     1.020725e+04     1.041894e+08
     9     1.154048e+02     2.648271e+04
    10     2.149313e+02     7.710759e+04
    11     3.968005e+02     2.177397e+05
    12     7.433904e+01     2.420325e+04
    13     8.003178e+01     1.550631e+04
    14     3.850475e+01     5.521878e+03
    15     2.417228e+01     3.135213e+03
    16     2.754448e+01     2.600213e+03
    17     2.736151e+02     7.519350e+04
    18     6.488862e+01     4.410790e+03
    19     1.064083e+02     1.242729e+04
    20     1.237363e+02     1.637980e+04
    21     4.918502e+02     2.427002e+05
    22     6.157706e+01     4.732439e+03
    23     2.576906e+01     1.520711e+03
    24     8.375057e+01     8.331943e+03
    25     4.252748e+01     2.699529e+03
    26     4.029107e+01     2.340910e+03
    27     2.008064e+01     1.266374e+03
    28     2.388045e+02     5.749965e+04
    29     1.893692e+02     3.672722e+04
    30     3.522232e+01     1.753171e+03
    31     5.041354e+01     2.914118e+03
    32     4.852127e+01     2.979080e+03
    33     1.871108e+01     7.805203e+02
    34     2.876880e+01     1.225518e+03
    35     3.259103e+01     1.464995e+03
    36     3.419120e+01     2.403877e+03
    37     5.766715e+01     3.894696e+03
    38     2.898991e+01     1.785788e+03
    39     3.291371e+01     1.692831e+03
    40     4.951738e+01     2.914639e+03
    41     3.600772e+01     1.710326e+03
    42     4.447913e+01     2.790370e+03
    43     2.736882e+01     1.325763e+03
    44     5.443983e+01     3.041781e+03
    45     1.332277e+02     1.784392e+04
