ρ = 9.0
Structure Factor Toggle = true
Tmp Path = ./Cor-S-SOS-Comp
Iterations = 3000
k_max = 20
Exp G Toggle = false
Heaviside Toggle = true
After iteration 0, the error is 8.499865e-5.
Converged after 4 iterations, the error is 5.9e-13.
  2.725488 seconds (3.03 M allocations: 199.424 MiB, 2.93% gc time, 99.93% compilation time)
512 38.258138 seconds (1.36 G allocations: 331.779 GiB, 48.95% gc time, 809.08% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     8.698205e+02              NaN
     2     1.116867e+03     1.989118e+06
     3     4.710065e+02     3.587789e+05
     4     5.382952e+02     6.112278e+05
     5     5.255873e+02     5.137481e+05
     6     5.045733e+02     6.222416e+05
     7     4.988325e+02     6.055540e+05
     8     6.085894e+02     1.170950e+06
     9     6.384847e+02     8.709055e+05
    10     6.652712e+03     4.705136e+07
    11     1.563486e+03     6.249656e+06
    12     1.606218e+03     6.409649e+06
    13     2.464642e+03     8.543913e+06
    14     2.699935e+02     1.993237e+05
    15     1.983264e+03     4.118624e+06
    16     4.982692e+02     5.042475e+05
    17     5.329953e+02     4.261438e+05
    18     2.375477e+03     7.777921e+06
    19     1.212509e+03     4.009590e+06
    20     2.510339e+03     7.601900e+06
    21     2.948727e+03     1.212066e+07
    22     4.587272e+03     2.404682e+07
    23     2.780257e+03     8.125320e+06
    24     2.425344e+02     3.163947e+05
    25     1.962236e+02     1.417691e+05
    26     3.158638e+02     1.447665e+05
    27     1.166341e+02     5.910517e+04
    28     1.375967e+02     4.749985e+04
    29     7.426415e+01     2.806422e+04
    30     8.195605e+01     1.824514e+04
    31     6.413879e+01     1.064004e+04
    32     1.225457e+02     4.154956e+04
    33     3.837238e+02     1.608468e+05
    34     1.003985e+03     1.025612e+06
    35     1.442246e+02     3.750586e+04
    36     2.613493e+02     8.161403e+04
    37     3.986698e+02     2.106680e+05
    38     3.386054e+02     1.351411e+05
    39     5.767619e+02     4.089823e+05
    40     5.189519e+02     6.841022e+05
    41     7.160490e+02     8.701857e+05
    42     1.206051e+03     1.752721e+06
    43     5.609258e+02     5.901617e+05
    44     2.536697e+02     1.299110e+05
    45     4.726347e+02     3.768730e+05
    46     1.288971e+03     2.169306e+06
    47     5.997182e+02     6.536372e+05
    48     2.935199e+03     8.857032e+06
    49     2.575483e+03     6.806564e+06
    50     3.963010e+03     1.842437e+07
    51     3.494286e+03     1.656102e+07
    52     2.124433e+03     9.792408e+06
    53     3.135318e+03     1.372359e+07
    54     8.368258e+02     2.325105e+06
    55     4.926261e+02     7.564685e+05
    56     3.563845e+02     3.699276e+05
    57     3.200299e+02     3.151647e+05
    58     1.032200e+03     1.498860e+06
    59     2.636857e+03     7.465662e+06
    60     1.048057e+04     1.125659e+08
    61     2.865988e+03     1.220399e+07
    62     5.335010e+02     4.826243e+05
    63     1.255965e+03     1.760093e+06
    64     2.987306e+02     4.183792e+05
    65     3.302402e+02     3.265167e+05
    66     2.019385e+02     2.070642e+05
    67     1.985412e+02     1.706861e+05
    68     1.497129e+02     7.827577e+04
    69     1.247925e+02     2.511146e+04
    70     2.369156e+02     7.211464e+04
    71     1.061934e+04     1.197230e+08
    72     9.089069e+02     1.225996e+06
    73     2.200653e+02     4.985239e+04
    74     6.245550e+02     7.411309e+05
    75     5.860992e+02     5.673350e+05
    76     3.668693e+02     2.696619e+05
    77     1.919662e+02     1.217230e+05
    78     2.156227e+02     8.401157e+04
    79     2.104643e+02     5.490749e+04
    80     1.467555e+03     2.303622e+06
    81     1.642677e+03     2.859715e+06
    82     2.594309e+03     8.279833e+06
    83     2.179040e+03     5.887467e+06
    84     3.522445e+03     1.467425e+07
    85     4.241685e+03     2.179031e+07
    86     1.305653e+03     2.776578e+06
    87     1.937945e+03     3.951983e+06
    88     2.103666e+02     1.757611e+05
    89     1.347472e+02     7.091931e+04
    90     1.720048e+02     7.656825e+04
    91     1.725171e+02     8.505430e+04
    92     2.206482e+02     8.471028e+04
    93     1.147399e+02     2.180108e+04
    94     4.635763e+01     4.831229e+03
    95     1.313322e+02     2.852946e+04
    96     3.200408e+03     1.283673e+07
    97     1.224602e+03     1.704689e+06
    98     8.723430e+02     1.020640e+06
    99     2.836077e+03     2.057763e+07
   100     2.256122e+03     1.138412e+07
   101     4.892829e+02     9.527556e+05
   102     3.388901e+02     2.354776e+05
   103     6.718072e+02     5.485568e+05
   104     8.048825e+02     6.857611e+05
   105     1.627551e+02     3.544787e+04
   106     3.535728e+02     2.549474e+05
   107     6.856297e+02     8.473846e+05
   108     2.997414e+02     1.931972e+05
   109     2.724643e+02     1.609525e+05
   110     4.809783e+02     4.053648e+05
   111     5.115343e+03     5.475693e+07
   112     5.385811e+02     4.793789e+05
   113     1.165881e+03     2.095673e+06
   114     1.255866e+03     2.853988e+06
   115     1.029741e+03     1.901757e+06
   116     4.127172e+02     3.949211e+05
   117     4.638234e+02     4.248200e+05
   118     3.686084e+02     3.485683e+05
   119     2.136579e+04     4.719548e+08
   120     5.520880e+02     7.569965e+05
   121     1.418645e+03     3.063590e+06
   122     1.095844e+04     1.937281e+08
   123     4.947383e+03     2.860259e+07
   124     4.660562e+02     4.596103e+05
   125     6.684348e+02     6.509044e+05
   126     7.296603e+02     6.533422e+05
   127     9.481263e+02     1.007538e+06
   128     6.537912e+02     5.563362e+05
   129     2.980997e+02     2.187049e+05
   130     7.574050e+02     6.087708e+05
   131     1.729614e+04     2.999497e+08
   132     1.832393e+03     4.619939e+06
   133     3.870540e+03     2.227566e+07
   134     2.611827e+03     1.614406e+07
   135     1.423075e+04     2.052909e+08
   136     2.685074e+03     9.701960e+06
   137     3.282078e+03     1.486733e+07
   138     5.988175e+02     9.470053e+05
   139     1.186979e+03     3.262076e+06
   140     1.307605e+03     3.486150e+06
   141     9.285162e+03     1.214292e+08
   142     1.649847e+03     3.984099e+06
   143     1.850128e+03     7.309634e+06
   144     8.527968e+02     2.160321e+06
   145     3.417498e+02     3.737257e+05
   146     2.410371e+02     1.620464e+05
   147     8.088800e+02     7.180854e+05
   148     1.607625e+02     7.212872e+04
   149     1.498148e+02     6.083448e+04
   150     1.142783e+02     4.468094e+04
   151     1.167665e+02     4.359084e+04
   152     8.333727e+02     7.976807e+05
   153     1.867505e+02     9.001501e+04
   154     4.913113e+02     5.763237e+05
   155     1.765016e+02     5.106616e+04
   156     3.178171e+02     1.474898e+05
   157     1.974006e+02     7.915366e+04
   158     2.342375e+02     8.025610e+04
   159     1.756865e+02     4.432442e+04
   160     2.139426e+03     4.595944e+06
   161     2.681166e+02     9.349821e+04
   162     7.622266e+02     5.955526e+05
   163     2.857694e+02     1.105872e+05
   164     3.671103e+02     1.922156e+05
   165     3.764441e+02     1.593445e+05
   166     2.711519e+02     1.343058e+05
   167     1.215087e+03     1.522586e+06
   168     1.187207e+03     1.464137e+06
   169     3.639938e+02     1.809888e+05
   170     2.785066e+02     1.693722e+05
   171     4.254212e+02     1.899792e+05
   172     6.343289e+02     4.728637e+05
   173     3.291658e+02     1.586695e+05
   174     2.313143e+02     1.010478e+05
   175     5.139390e+02     2.748974e+05
   176     5.116105e+02     2.685145e+05
   177     4.688317e+02     2.736867e+05
   178     5.107382e+02     3.100150e+05
   179     5.927858e+02     4.044373e+05
   180     9.884115e+02     1.029902e+06
   181     3.564710e+02     1.540841e+05
   182     3.547256e+02     1.899489e+05
   183     1.446713e+02     8.757829e+04
   184     1.250583e+02     6.155136e+04
   185     9.670887e+02     9.850129e+05
   186     1.617862e+02     6.877867e+04
   187     2.987607e+02     1.266143e+05
   188     6.589007e+02     5.291742e+05
   189     7.990295e+02     6.822573e+05
   190     2.059193e+02     7.604939e+04
   191     9.303699e+02     9.052198e+05
   192     5.210591e+02     2.920598e+05
   193     2.064806e+02     8.441929e+04
   194     6.207893e+02     4.083138e+05
   195     3.344661e+02     1.466497e+05
   196     1.538445e+02     6.821078e+04
   197     1.004058e+02     5.427259e+04
   198     1.296632e+02     3.612212e+04
   199     9.276306e+01     3.047578e+04
   200     4.769548e+02     2.562057e+05
   201     1.969834e+02     7.041272e+04
   202     2.484666e+02     9.445714e+04
   203     2.022824e+02     5.403975e+04
   204     1.852300e+02     5.337527e+04
   205     4.344631e+02     2.383149e+05
   206     2.454411e+02     1.042675e+05
   207     3.658892e+02     1.817182e+05
   208     2.447822e+02     1.036531e+05
   209     7.492651e+02     6.226590e+05
   210     3.187174e+02     1.547319e+05
   211     7.205373e+02     5.521879e+05
   212     1.846854e+02     1.794751e+05
   213     3.295815e+02     1.217566e+05
   214     5.657199e+02     3.242616e+05
   215     8.766319e+02     8.499411e+05
   216     1.877909e+03     3.587776e+06
   217     7.136087e+02     5.995669e+05
   218     7.064194e+02     5.227566e+05
   219     1.366830e+04     2.517469e+08
   220     3.735971e+03     1.734161e+07
   221     1.146407e+04     2.668182e+08
   222     6.737951e+03     6.376305e+07
   223     4.698458e+02     6.172268e+05
   224     7.731042e+02     7.370069e+05
   225     2.909185e+02     2.201715e+05
   226     2.684816e+02     1.449288e+05
   227     2.290056e+02     1.211052e+05
   228     3.965450e+02     5.022484e+05
   229     1.966822e+02     9.374567e+04
   230     1.052482e+02     5.378215e+04
   231     4.892632e+02     3.530074e+05
   232     1.615610e+03     2.731559e+06
   233     4.192301e+02     3.398768e+05
   234     4.969401e+02     5.619692e+05
   235     1.706639e+03     3.245383e+06
   236     1.332084e+02     6.407915e+04
   237     7.297269e+03     5.432643e+07
   238     2.590104e+03     7.633322e+06
   239     8.014288e+03     6.516694e+07
   240     1.170309e+03     3.065134e+06
   241     7.381887e+02     1.186248e+06
   242     5.959958e+02     6.675785e+05
   243     3.334126e+02     3.319175e+05
   244     3.370148e+02     2.185664e+05
   245     1.974533e+03     4.203697e+06
   246     8.161251e+02     1.136537e+06
   247     2.849920e+02     1.176551e+05
   248     3.085930e+02     1.460564e+05
   249     2.769725e+02     1.168777e+05
   250     5.627939e+02     3.909290e+05
   251     2.197878e+02     8.325547e+04
   252     1.836584e+02     7.039725e+04
   253     7.681535e+02     1.418331e+06
   254     3.039517e+02     1.686676e+05
   255     8.935460e+02     8.516936e+05
   256     2.571128e+02     9.378178e+04
   257     3.725997e+02     1.609256e+05
   258     2.866842e+02     1.123434e+05
   259     1.283145e+02     4.943950e+04
   260     1.592581e+02     4.576834e+04
   261     2.895462e+02     1.062082e+05
   262     9.984077e+02     1.013506e+06
   263     4.335011e+02     2.052899e+05
   264     4.440036e+02     2.320865e+05
   265     4.069818e+02     1.990691e+05
   266     1.234785e+02     3.285274e+04
   267     1.143471e+02     3.732284e+04
   268     8.281293e+01     3.077034e+04
   269     8.366814e+01     3.003881e+04
   270     8.193803e+02     6.919900e+05
   271     9.154277e+01     3.137826e+04
   272     3.656536e+02     1.437449e+05
   273     2.049657e+02     7.416673e+04
   274     2.812551e+02     1.026998e+05
   275     1.927750e+03     3.733058e+06
   276     1.890151e+02     6.645821e+04
   277     1.751123e+02     6.542307e+04
   278     1.056483e+03     1.335012e+06
   279     7.997987e+02     1.009594e+06
   280     8.475533e+02     9.420495e+05
   281     1.197649e+04     1.435145e+08
   282     1.614237e+03     2.668373e+06
   283     3.313165e+02     2.260316e+05
   284     2.573101e+03     8.913892e+06
   285     6.668511e+02     5.289882e+05
   286     3.296553e+02     2.307928e+05
   287     8.790772e+02     9.210800e+05
   288     7.544799e+02     7.089370e+05
   289     1.051843e+03     1.402380e+06
   290     4.643492e+02     5.983366e+05
   291     2.487223e+02     1.480174e+05
   292     6.852941e+02     5.331152e+05
   293     8.977385e+03     8.071562e+07
   294     1.733215e+02     1.213016e+05
   295     1.166508e+02     5.812559e+04
   296     1.771079e+02     5.649632e+04
   297     3.882771e+02     1.675780e+05
   298     2.420070e+02     8.283375e+04
   299     3.285364e+02     1.323087e+05
   300     2.769603e+02     7.935020e+04
   301     8.807811e+02     8.277703e+05
   302     5.177076e+02     3.242538e+05
   303     6.906345e+02     5.659092e+05
   304     1.353814e+03     1.933525e+06
   305     7.270188e+02     7.596662e+05
   306     7.124059e+02     6.559902e+05
   307     4.877074e+02     2.901179e+05
   308     4.236065e+02     2.431159e+05
   309     3.682856e+02     2.045089e+05
   310     3.327851e+02     1.539415e+05
   311     1.726719e+03     3.019119e+06
   312     1.283670e+03     1.718875e+06
   313     2.163911e+02     1.189048e+05
   314     1.479384e+02     7.773647e+04
   315     1.306543e+02     6.479242e+04
   316     1.106959e+02     5.222708e+04
   317     9.353504e+01     2.744205e+04
   318     1.961728e+02     7.450451e+04
   319     1.332160e+02     3.938811e+04
   320     1.618414e+02     4.618943e+04
   321     2.044395e+02     6.836558e+04
   322     1.389092e+02     3.050520e+04
   323     3.224447e+02     1.618683e+05
   324     5.014526e+02     6.025856e+05
   325     2.660591e+03     7.495877e+06
