ρ = 1.0
Structure Factor Toggle = false
Tmp Path = ./Cor-S-exp-SOS-Comp
Iterations = 3000
k_max = 20
Exp G Toggle = true
Heaviside Toggle = true
After iteration 0, the error is 6.8854e-7.
Converged after 2 iterations, the error is 4.2e-12.
  3.370453 seconds (3.03 M allocations: 199.345 MiB, 2.68% gc time, 99.95% compilation time)
512 10.106193 seconds (1.18 G allocations: 20.841 GiB, 24.73% gc time, 3162.49% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     2.398628e+02              NaN
     2     7.935722e+01     1.513716e+04
     3     6.684094e+01     1.036767e+04
     4     2.771433e+01     3.459086e+03
     5     1.658588e+02     3.583121e+04
     6     1.438965e+02     2.308039e+04
     7     6.974064e+01     8.138966e+03
     8     4.614733e+01     5.691599e+03
     9     4.382116e+02     2.145458e+05
    10     5.217173e+02     3.436391e+05
    11     1.888186e+02     4.089639e+04
    12     5.943356e+01     1.214579e+04
    13     2.416283e+01     2.663286e+03
    14     7.085508e+02     6.732262e+05
    15     2.944094e+02     1.269866e+05
    16     1.150321e+02     4.528248e+04
    17     3.114162e+03     9.745338e+06
    18     2.614909e+01     1.533246e+03
    19     4.505707e+01     7.835096e+03
    20     1.632702e+02     3.513737e+04
    21     2.302995e+02     7.589532e+04
    22     2.770503e+03     7.690889e+06
    23     3.330588e+02     2.139132e+05
    24     9.451053e+01     1.483539e+04
    25     1.226484e+02     2.376083e+04
    26     2.017192e+03     1.453281e+07
    27     5.335157e+01     1.045661e+04
    28     3.491225e+01     3.130490e+03
    29     2.759446e+01     2.113992e+03
    30     3.135140e+01     2.208167e+03
    31     1.529612e+02     2.383142e+04
    32     2.396939e+01     8.830752e+02
    33     3.908837e+01     1.611050e+03
    34     3.130593e+01     1.058809e+03
    35     2.004589e+01     4.542274e+02
    36     4.023545e+01     1.767975e+03
    37     1.216427e+01     3.055763e+02
    38     6.840579e+01     9.446742e+03
    39     7.844299e+01     1.298926e+04
    40     5.458561e+01     1.008458e+04
    41     3.500033e+01     3.550830e+03
    42     8.825066e+01     1.181108e+04
    43     1.380967e+02     2.447147e+04
    44     1.763107e+01     1.930214e+03
    45     9.132467e+00     5.006799e+02
    46     7.512002e+00     2.064184e+02
    47     1.310221e+01     4.007776e+02
    48     1.576734e+01     3.974855e+02
    49     1.031407e+01     2.632918e+02
    50     1.794926e+01     4.376345e+02
    51     9.597685e+00     2.111891e+02
    52     1.309804e+01     3.043664e+02
    53     3.820156e+01     3.630068e+03
    54     3.130193e+01     3.160754e+03
    55     9.113667e+01     1.094078e+04
    56     3.795348e+02     1.506296e+05
    57     4.338811e+02     3.467085e+05
    58     2.048874e+02     5.456070e+04
    59     9.218447e+01     1.655803e+04
    60     7.857279e+01     1.281158e+04
    61     3.172347e+01     4.287435e+03
    62     1.544505e+01     1.546297e+03
    63     1.192642e+01     7.388731e+02
    64     1.815403e+01     8.191460e+02
    65     1.957470e+01     7.158968e+02
    66     4.072322e+00     5.604938e+01
    67     3.230779e+03     1.043796e+07
    68     3.425022e+01     1.191762e+03
    69     1.466675e+01     3.018993e+02
    70     2.107662e+01     5.250513e+02
    71     5.836877e+01     3.491729e+03
    72     2.376727e+01     6.421791e+02
    73     1.432437e+01     2.566481e+02
    74     3.388062e+03     1.199488e+07
    75     1.052958e+01     2.546045e+02
    76     6.962927e+00     1.351778e+02
    77     9.783580e+00     1.646936e+02
    78     2.596029e+01     7.958165e+02
    79     2.000925e+01     5.615914e+02
    80     9.646010e+00     1.874165e+02
    81     9.484898e+00     1.561283e+02
    82     6.929466e+00     2.080876e+02
    83     5.366200e+01     7.704480e+03
    84     1.847919e+02     4.382501e+04
    85     1.599960e+02     4.171787e+04
    86     5.785580e+02     3.476377e+05
    87     6.212295e+01     1.039827e+04
    88     5.988541e+01     5.786509e+03
    89     1.995930e+01     1.951723e+03
    90     7.323040e+01     1.164023e+04
    91     1.165698e+02     3.141387e+04
    92     1.316900e+02     1.857792e+04
    93     2.331032e+01     1.301994e+03
    94     6.144270e+01     7.850321e+03
    95     2.780232e+02     8.845134e+04
    96     2.135265e+02     8.385470e+04
    97     2.487669e+02     9.802714e+04
    98     1.562510e+03     2.729813e+06
    99     1.494210e+02     5.448948e+04
   100     1.188000e+02     5.159281e+04
   101     9.487459e+01     3.104962e+04
   102     1.155236e+02     4.101145e+04
   103     3.050910e+01     6.854757e+03
   104     2.649317e+01     3.895844e+03
   105     2.263987e+01     2.141831e+03
   106     2.314727e+01     1.488880e+03
   107     2.201564e+01     1.035162e+03
   108     1.926457e+01     7.855525e+02
   109     1.056830e+01     4.260400e+02
   110     5.000972e+01     2.589201e+03
   111     2.066838e+01     5.361356e+02
   112     3.294853e+01     1.200383e+03
   113     8.230884e+01     6.827862e+03
   114     1.575735e+01     3.719973e+02
   115     2.898884e+01     1.093250e+03
   116     3.347615e+01     1.169372e+03
   117     6.462338e+01     4.400133e+03
   118     5.660070e+01     3.434849e+03
   119     1.019252e+01     3.143088e+02
   120     8.030699e+00     9.476375e+01
   121     2.200152e+01     4.985798e+02
   122     1.374210e+01     2.277856e+02
   123     7.919710e+00     1.065011e+02
   124     2.258441e+01     5.662966e+02
   125     1.186881e+01     3.268489e+02
   126     3.503880e+01     1.446756e+03
   127     4.698363e+01     2.214182e+03
   128     1.718540e+01     3.155655e+02
   129     3.224243e+01     1.381433e+03
   130     1.835160e+01     4.390785e+02
   131     1.974289e+01     5.336315e+02
   132     6.780455e+01     5.153260e+03
   133     2.502437e+01     6.381182e+02
   134     1.028810e+01     1.094214e+02
   135     2.452397e+02     6.016120e+04
   136     2.074927e+01     4.625081e+02
   137     1.523266e+01     2.840900e+02
   138     4.387771e+03     1.925262e+07
   139     8.829816e+01     7.912756e+03
   140     1.625415e+01     2.692253e+02
   141     1.738138e+01     3.887860e+02
   142     1.858490e+01     7.062293e+02
   143     5.740305e+01     3.399730e+03
   144     1.263479e+01     1.862977e+02
   145     3.860234e+01     1.493009e+03
   146     1.975798e+01     3.932735e+02
   147     5.540502e+02     3.069755e+05
   148     1.592526e+01     2.601748e+02
   149     1.398595e+01     2.078310e+02
   150     1.461928e+01     2.229702e+02
   151     6.653300e+00     5.449303e+01
   152     3.113572e+01     9.746807e+02
   153     1.813526e+01     3.332780e+02
   154     1.483336e+01     2.261909e+02
   155     1.446714e+01     2.470262e+02
   156     1.453918e+01     2.443401e+02
   157     1.475947e+01     2.399199e+02
   158     1.640538e+01     2.692477e+02
   159     4.648511e+01     2.373565e+03
   160     1.036296e+01     2.227075e+02
   161     2.389410e+01     7.318306e+02
   162     1.201534e+02     1.466410e+04
   163     5.640697e+00     5.686285e+01
   164     2.376996e+01     9.217554e+02
   165     8.725303e+01     7.952056e+03
   166     2.511568e+01     6.673254e+02
   167     3.120541e+01     1.230544e+03
   168     1.189423e+01     4.224388e+02
   169     1.413010e+01     4.520928e+02
   170     3.723643e+01     5.234749e+03
   171     1.736776e+01     4.028556e+02
   172     1.657945e+01     4.670972e+02
   173     1.326702e+01     4.219956e+02
   174     9.726333e+00     3.064413e+02
   175     1.727293e+01     4.506482e+02
   176     1.056880e+01     2.652488e+02
   177     9.859480e+00     4.165426e+02
   178     2.194674e+02     5.266353e+04
   179     5.260419e+01     4.959639e+03
   180     3.673629e+01     3.479434e+03
   181     1.044983e+02     1.367016e+04
   182     2.941993e+01     3.141498e+03
   183     4.805357e+01     4.080836e+03
   184     1.281548e+01     9.703620e+02
   185     5.727499e+00     2.694059e+02
   186     4.982423e+02     2.542502e+05
   187     7.260793e+01     1.433064e+04
   188     2.889550e+02     9.465718e+04
   189     1.410851e+02     2.797180e+04
   190     3.501669e+02     1.910025e+05
   191     1.150534e+02     3.286445e+04
   192     1.474053e+02     6.038154e+04
   193     7.030738e+01     1.769853e+04
   194     1.907479e+02     6.853689e+04
   195     4.317899e+01     1.094011e+04
   196     1.615415e+02     2.972556e+04
   197     1.983447e+02     4.285720e+04
   198     2.345648e+01     2.905282e+03
   199     1.487183e+01     8.967432e+02
   200     1.459085e+01     4.712427e+02
   201     2.265517e+02     5.174281e+04
   202     1.261913e+01     5.086431e+02
   203     3.691263e+02     3.102359e+05
   204     1.783076e+02     5.538622e+04
   205     3.723653e+02     1.746279e+05
   206     1.439781e+04     2.073190e+08
   207     5.304841e+03     2.828023e+07
   208     2.088361e+02     1.050653e+05
   209     8.441232e+01     2.870769e+04
   210     4.741567e+01     8.373128e+03
   211     4.838430e+01     5.824566e+03
   212     2.998041e+01     3.447424e+03
   213     1.651607e+02     5.337436e+04
   214     5.501443e+02     7.013979e+05
   215     1.445796e+03     2.514639e+06
   216     3.726601e+02     4.747817e+05
   217     5.808880e+02     6.804741e+05
   218     5.069285e+02     3.034035e+05
   219     1.187556e+02     4.066891e+04
   220     6.610829e+01     1.606493e+04
   221     5.239311e+01     9.230074e+03
   222     4.224006e+05     1.784886e+11
   223     4.931314e+01     4.481150e+03
   224     4.571846e+01     4.101446e+03
   225     8.145139e+02     6.730003e+05
   226     1.251494e+02     2.540208e+04
   227     6.107029e+01     7.726502e+03
   228     4.837261e+01     5.668145e+03
   229     4.846035e+01     6.330035e+03
   230     4.096241e+01     3.256515e+03
   231     4.189715e+01     3.234204e+03
   232     3.533048e+01     2.212781e+03
   233     3.318700e+01     1.471728e+03
   234     3.865234e+01     4.200155e+03
   235     1.223160e+02     2.458008e+04
   236     1.365826e+01     6.062766e+02
   237     1.751443e+02     3.286618e+04
   238     6.382918e+01     7.195998e+03
   239     5.471399e+01     6.416296e+03
   240     1.203192e+01     6.428394e+02
   241     6.415762e+01     7.510773e+03
   242     1.426021e+02     2.266618e+04
   243     8.667433e+01     9.391840e+03
   244     7.629409e+02     5.920454e+05
   245     1.227700e+03     1.969567e+06
   246     2.067684e+03     4.916901e+06
   247     1.759128e+02     4.387834e+04
   248     1.925805e+02     9.229817e+04
   249     5.873081e+01     6.776396e+03
   250     3.060524e+01     4.564918e+03
   251     4.318688e+01     4.175490e+03
   252     2.432310e+01     2.131283e+03
   253     2.224592e+01     1.326727e+03
   254     3.191437e+01     1.965597e+03
   255     1.862346e+01     7.846256e+02
   256     2.065117e+01     8.552719e+02
   257     1.437443e+01     2.410758e+02
   258     1.367976e+00     5.895625e+00
   259     1.119704e+01     2.595956e+02
   260     1.159724e+01     2.577756e+02
   261     2.770893e+01     8.386570e+02
   262     1.172082e+01     2.443102e+02
   263     3.400954e+01     1.218522e+03
   264     2.313697e+02     5.358071e+04
   265     1.675690e+01     3.278644e+02
   266     4.154642e+00     3.822615e+01
   267     2.752953e+00     1.937484e+01
   268     2.384017e+00     8.293479e+00
   269     4.730005e+00     3.836447e+01
   270     4.385833e+00     2.926345e+01
   271     1.858965e+01     4.006606e+02
   272     1.509143e+01     2.730971e+02
   273     3.778394e+01     1.431669e+03
   274     5.426841e+01     2.947819e+03
   275     3.388079e+02     1.147926e+05
   276     1.630162e+01     4.505307e+02
   277     4.040484e+01     1.904396e+03
   278     4.727950e+00     3.053900e+01
   279     7.109949e+00     5.380404e+01
   280     1.237502e+01     1.672006e+02
   281     6.314660e+00     5.449483e+01
   282     5.519056e+00     4.183056e+01
   283     2.882868e+00     1.060539e+01
   284     3.232365e+00     1.852922e+01
   285     3.424979e+00     1.778651e+01
   286     2.059349e+01     4.716646e+02
   287     3.041251e+01     9.502386e+02
   288     9.383373e+00     1.041516e+02
   289     4.608844e+02     2.124167e+05
   290     3.216030e+01     1.049239e+03
   291     4.320898e+00     2.063159e+01
   292     1.082772e+01     1.503190e+02
   293     1.996062e+01     4.343399e+02
   294     7.354100e+00     9.109838e+01
   295     2.203844e+01     9.485482e+02
   296     1.674112e+01     2.871705e+02
   297     3.684962e+01     1.629606e+03
   298     3.384675e+01     1.453851e+03
   299     2.308309e+01     5.655098e+02
   300     2.606680e+01     7.353354e+02
   301     2.799111e+01     1.063312e+03
   302     1.421021e+02     2.047348e+04
   303     1.927672e+01     3.853075e+02
   304     1.392950e+01     2.337769e+02
   305     2.165500e+01     5.707015e+02
   306     7.691967e+00     6.555446e+01
   307     2.600703e+01     6.908613e+02
   308     5.328957e+01     2.850891e+03
   309     7.196402e+01     5.179128e+03
   310     3.972922e+01     2.766873e+03
   311     3.856780e+01     2.220598e+03
   312     3.359577e+01     1.288948e+03
   313     1.849491e+02     3.587559e+04
   314     1.152226e+01     3.213453e+02
   315     2.470189e+01     2.412175e+03
   316     1.467348e+01     2.898748e+02
   317     2.518075e+01     6.775098e+02
   318     2.553002e+01     7.018459e+02
   319     1.038353e+01     1.813069e+02
   320     4.605830e+02     4.000071e+05
   321     2.415669e+02     7.675652e+04
   322     4.469401e+02     2.089393e+05
   323     6.740508e+01     1.416905e+04
   324     1.940890e+02     4.005794e+04
   325     3.807613e+01     3.957522e+03
   326     2.480144e+01     2.834159e+03
   327     1.249673e+01     9.021748e+02
   328     3.964098e+01     1.996267e+03
   329     9.289853e+00     4.251949e+02
   330     1.256487e+01     5.629757e+02
   331     1.433241e+02     4.357507e+04
   332     2.426550e+02     7.400059e+04
   333     1.570944e+03     2.482036e+06
   334     1.131188e+02     3.433526e+04
   335     1.860343e+03     3.520283e+06
   336     5.284527e+04     2.792760e+09
   337     9.892085e+01     2.699116e+04
   338     2.176388e+02     5.856994e+04
   339     4.612595e+01     9.146339e+03
   340     3.343917e+01     4.088548e+03
   341     2.224871e+01     1.127007e+03
   342     1.084274e+01     4.827531e+02
   343     2.076480e+01     6.876444e+02
   344     1.769146e+01     5.844150e+02
   345     2.307589e+01     7.628293e+02
   346     1.935960e+01     4.984196e+02
   347     1.485763e+01     1.552648e+03
   348     1.192358e+02     2.016960e+04
   349     1.038081e+02     1.715790e+04
   350     2.669229e+01     2.950789e+03
   351     4.912773e+01     3.892203e+03
   352     1.348395e+02     2.042698e+04
   353     2.747075e+01     2.654089e+03
   354     1.039426e+01     1.089397e+03
   355     6.592959e+01     4.632139e+03
   356     1.515399e+01     5.150003e+02
   357     9.727758e+01     9.588081e+03
   358     2.200600e+01     6.066459e+02
   359     1.184733e+01     2.946324e+02
   360     2.511851e+01     8.727245e+02
   361     4.848947e+02     3.454534e+05
   362     2.104470e+01     7.105498e+02
   363     2.803374e+02     8.505693e+04
   364     1.263690e+03     1.611826e+06
   365     4.674313e+01     6.225262e+03
   366     9.222432e+01     1.144087e+04
   367     3.830905e+01     4.075087e+03
   368     1.621586e+02     5.222564e+04
   369     1.252179e+03     1.573936e+06
   370     8.433532e+02     7.216027e+05
   371     1.730125e+02     3.761625e+04
   372     5.995768e+01     9.500635e+03
   373     2.529273e+01     2.654387e+03
   374     1.521297e+02     4.007065e+04
   375     5.062729e+02     2.755479e+05
   376     1.024176e+02     4.759709e+04
   377     2.421466e+03     6.222334e+06
   378     6.079636e+02     9.169328e+05
   379     3.276540e+03     1.075692e+07
   380     1.607599e+02     6.387040e+04
   381     1.184849e+02     3.509411e+04
   382     5.505473e+02     3.522221e+05
   383     2.729694e+02     1.880952e+05
   384     4.384217e+02     2.892966e+05
   385     5.465613e+01     1.160391e+04
   386     2.273463e+02     5.693998e+04
   387     6.528719e+01     8.614400e+03
   388     2.926648e+01     3.703186e+03
   389     2.251370e+01     2.120516e+03
   390     1.529770e+01     1.043121e+03
   391     3.720133e+01     1.746597e+03
   392     1.220289e+01     4.080108e+03
   393     9.699293e+01     1.918424e+04
   394     5.282664e+01     7.315221e+03
   395     1.966497e+02     6.601983e+04
   396     8.865560e+02     7.943783e+05
   397     3.555112e+02     1.529202e+05
   398     3.445856e+02     1.565451e+05
   399     9.439649e+01     1.359438e+04
   400     8.596754e+01     1.509593e+04
   401     1.241094e+02     3.947969e+04
   402     5.105382e+02     5.308055e+05
   403     1.263444e+03     1.623363e+06
   404     1.014374e+03     1.083318e+06
   405     1.040223e+02     4.376325e+04
   406     4.651952e+01     7.126785e+03
   407     3.483161e+01     3.415953e+03
   408     2.737232e+01     2.223148e+03
   409     5.006973e+02     2.778358e+05
   410     3.801897e+02     1.580849e+05
   411     1.962684e+02     7.027452e+04
   412     7.281085e+02     5.440774e+05
