ρ = 10.0
Structure Factor Toggle = true
Tmp Path = ./Cor-S-exp-SOS-Comp
Iterations = 3000
k_max = 20
Exp G Toggle = true
Heaviside Toggle = true
After iteration 0, the error is 9.283068e-5.
Converged after 4 iterations, the error is 8.5e-13.
  2.797158 seconds (3.03 M allocations: 199.424 MiB, 3.88% gc time, 99.94% compilation time)
512336.266184 seconds (153.02 G allocations: 2.525 TiB, 62.77% gc time, 51.94% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     9.287325e+01              NaN
     2     4.971716e+01     4.110197e+03
     3     1.643826e+02     4.219196e+04
     4     1.169526e+02     2.180420e+04
     5     5.056398e+04     2.595955e+09
     6     9.107084e+03     1.504718e+08
     7     1.156727e+04     1.662561e+08
     8     6.242880e+05     3.897468e+11
     9     3.951946e+02     2.484373e+05
    10     1.069630e+02     1.781103e+04
    11     2.907304e+03     2.706846e+07
    12     7.409513e+03     6.554591e+07
    13     4.711518e+03     3.236517e+07
    14     3.518859e+03     2.227154e+07
    15     4.054744e+03     2.645679e+07
    16     3.647883e+02     2.097691e+05
    17     2.380963e+04     5.929329e+08
    18     2.590906e+04     6.942857e+08
    19     7.760248e+03     8.311622e+07
    20     1.020473e+04     1.502576e+08
    21     6.986313e+04     4.931241e+09
    22     2.032617e+04     5.044380e+08
    23     8.038175e+02     2.803690e+06
    24     1.348641e+03     3.398270e+06
    25     6.176517e+02     1.129401e+06
    26     2.711138e+02     3.064033e+05
    27     2.112444e+02     1.782478e+05
    28     1.140071e+02     3.636328e+04
    29     9.282527e+01     2.151179e+04
    30     3.354920e+01     1.420458e+03
    31     1.050981e+02     1.808549e+04
    32     6.467276e+03     4.838880e+07
    33     1.806687e+02     9.966057e+04
    34     1.846549e+02     4.685688e+04
    35     3.085955e+02     1.203234e+05
    36     1.539107e+03     3.016040e+06
    37     4.528002e+03     3.442673e+07
    38     4.649934e+02     2.658336e+05
    39     1.146092e+02     2.228518e+04
    40     1.339297e+02     2.951779e+04
    41     2.040579e+02     6.193701e+04
    42     2.789046e+02     1.111590e+05
    43     4.207710e+02     2.848140e+05
    44     9.617928e+01     1.460681e+04
    45     9.878853e+01     1.538452e+04
    46     1.266895e+02     2.453832e+04
    47     3.645935e+02     2.050178e+05
    48     2.356818e+02     8.545107e+04
    49     9.216140e+02     1.967718e+06
    50     9.165759e+02     1.640645e+06
    51     1.376069e+02     2.928179e+04
    52     1.721857e+03     3.870046e+06
    53     5.035458e+03     5.879944e+07
    54     9.521393e+02     1.489936e+06
    55     6.306045e+01     5.303319e+03
    56     5.221315e+01     3.768593e+03
    57     1.335900e+02     2.597768e+04
    58     1.379805e+02     2.746142e+04
    59     9.872596e+01     1.460585e+04
    60     1.105917e+02     1.851996e+04
    61     1.681311e+02     4.422809e+04
    62     1.466370e+02     3.390675e+04
    63     2.743017e+02     1.177192e+05
    64     3.548296e+02     1.862784e+05
    65     4.111366e+04     1.710374e+09
    66     1.288498e+04     2.622186e+08
    67     1.073715e+03     1.857205e+06
    68     1.805882e+02     5.399181e+04
    69     5.766815e+02     5.187768e+05
    70     1.037608e+03     1.717719e+06
    71     1.746919e+01     4.897529e+02
    72     4.433002e+01     3.813273e+03
    73     3.095613e+02     1.546954e+05
    74     3.546521e+01     2.039287e+03
    75     4.990694e+02     3.673651e+05
    76     1.101694e+04     1.857141e+08
    77     8.998400e+02     1.930107e+06
    78     1.157038e+03     2.286907e+06
    79     9.966314e+03     1.081797e+08
    80     1.887126e+03     1.127378e+07
    81     1.729132e+03     7.055151e+06
    82     1.770232e+03     3.839357e+06
    83     6.645047e+02     7.395749e+05
    84     2.408892e+03     7.096256e+06
    85     4.205002e+02     2.654938e+05
    86     1.626832e+02     5.866094e+04
    87     1.207735e+02     2.549089e+04
    88     9.920888e+01     2.034724e+04
    89     1.031968e+02     1.095639e+04
