ρ = 6.0
Structure Factor Toggle = false
Tmp Path = ./Cor-S-exp-SOS-Comp
Iterations = 3000
k_max = 20
Exp G Toggle = true
Heaviside Toggle = true
After iteration 0, the error is 5.336356e-5.
Converged after 3 iterations, the error is 9.8e-11.
  2.691890 seconds (3.03 M allocations: 199.384 MiB, 3.25% gc time, 99.94% compilation time)
512  7.531296 seconds (1.18 G allocations: 20.841 GiB, 25.26% gc time, 2784.55% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     6.293118e+01              NaN
     2     2.563286e+01     1.517595e+03
     3     1.757162e+01     7.506258e+02
     4     1.383696e+01     3.036428e+02
     5     2.213860e+01     1.006832e+03
     6     1.445881e+02     2.144427e+04
     7     9.655151e+01     9.868842e+03
     8     3.898776e+01     1.902348e+03
     9     2.112655e+01     7.137046e+02
    10     1.227570e+01     3.220609e+02
    11     8.198295e+01     6.780304e+03
    12     1.470207e+01     5.817981e+02
    13     3.067812e+01     1.035688e+03
    14     3.165884e+01     1.262109e+03
    15     1.581863e+01     4.789389e+02
    16     8.250079e+01     6.944415e+03
    17     1.846903e+01     6.270126e+02
    18     6.600140e+01     4.494081e+03
    19     9.013448e+01     8.256653e+03
    20     9.626728e+00     2.278754e+02
    21     9.139537e+00     1.636376e+02
    22     3.169789e+01     1.022640e+03
    23     3.679433e+01     1.410884e+03
    24     7.521202e+00     1.010702e+02
    25     2.753890e+01     8.382348e+02
    26     3.757453e+02     1.413588e+05
    27     3.550701e+01     1.402081e+03
    28     2.992025e+01     9.804597e+02
    29     2.011096e+01     4.961979e+02
    30     6.364363e+00     5.525525e+01
    31     7.757525e+00     6.029558e+01
    32     8.012416e+00     6.425906e+01
    33     1.264344e+01     1.801838e+02
    34     6.907673e+00     5.169994e+01
    35     6.110996e+00     5.377681e+01
    36     2.651131e+01     7.134033e+02
    37     4.793479e+01     2.300915e+03
    38     2.818478e+01     7.997162e+02
    39     3.594839e+01     1.293644e+03
    40     1.039831e+02     1.081406e+04
    41     3.645602e+01     1.329837e+03
    42     2.354849e+01     5.552984e+02
    43     3.603785e+01     1.299029e+03
    44     3.786306e+01     1.433679e+03
    45     3.669933e+01     1.347007e+03
    46     2.274222e+01     1.044696e+03
    47     7.654920e+00     8.122487e+01
    48     9.019446e+00     9.709013e+01
    49     1.418434e+01     2.191718e+02
    50     1.778530e+01     3.301690e+02
    51     5.348445e+01     3.635759e+03
    52     1.517451e+02     2.471719e+04
    53     4.920357e+00     3.036392e+01
    54     2.611133e+00     8.115617e+00
    55     2.532944e+00     6.719222e+00
    56     8.002030e+00     6.514479e+01
    57     1.198123e+01     1.792013e+02
    58     1.684264e+02     2.839284e+04
    59     1.185652e+02     1.501508e+04
    60     1.630995e+02     2.714370e+04
    61     2.088215e+02     7.336218e+04
    62     3.725078e+01     2.582874e+03
    63     3.598253e+00     1.837462e+01
    64     2.034557e+01     4.150974e+02
    65     1.101122e+02     1.213118e+04
    66     3.279937e+00     1.217600e+01
    67     2.824773e+00     8.004378e+00
    68     6.607948e+00     4.405303e+01
    69     9.443885e-01     9.262552e-01
    70     7.862086e-01     7.359535e-01
    71     2.120704e+00     5.500839e+00
    72     9.085085e+00     1.160622e+02
