max,min,density,resolution
580.7374009062584,-69.3491546654778,0.1,512
11.528270794098415,-11.449856253093488,0.7,512
4.0572462049087,-8.084152041242517,1.0,512
7.880690577131188,-4.276838175818751,2.0,512
11.974595133022975,-3.0739494404491863,3.0,512
16.20152855225815,-2.249134426640729,4.0,512
20.99259770441078,-1.22520604675824,5.0,512
33.840324008619035,-1.0330243946034763,8.0,512
47.670088140377416,-0.9809900447924297,11.0,512
52.344728033869636,-0.9563498155282838,12.0,512
66.13275116606161,-0.9224222172820774,15.0,512
88.98751177980382,-0.886738854155688,20.0,512
111.80487278600374,-0.856975380544245,25.0,512
134.59817864350137,-0.8311956986601273,30.0,512
225.70815060434666,-0.7359637099393354,50.0,512
453.34182017163977,-0.5119793530538297,100.0,512
680.9133576738851,-0.292968481129902,150.0,512
908.460331494373,-0.07580511903017409,200.0,512
908.460331494373,-0.07580511903017409,200.0,512
1135.9931723799568,0.14025605130417304,250.0,512
1363.520891803185,0.3562381941099859,300.0,512
1591.03840773494,0.5709132603793793,350.0,512
1818.5514472637974,0.7851832946533299,400.0,512
2046.060993645373,0.9991154566160568,450.0,512
2273.567738041619,1.212760374364269,500.0,512
2501.072186514496,1.4261574417590488,550.0,512
2728.574721499596,1.6393380632662842,600.0,512
2956.0756393820293,1.852327760401567,650.0,512
3183.5751746282995,2.065147602336685,700.0,512
3411.0735159205055,2.277815213013308,750.0,512
