r,gr,k,Fg_k,S_k,G_k,D_k
0.0062273946577337935,0.7231349764533284,0.0,-408.20137425245514,-6122.020613786827,-109.52655992958434,109.52655992958434
0.01868218397320138,0.7319733406150154,0.03913894324853229,-408.0905838806584,-6120.358758209876,-8.331014919827934,8.331014919827934
0.03113697328866897,0.7406929677155001,0.07827788649706457,-407.75850803394616,-6115.377620509193,-13.621245230396404,13.621245230396404
0.04359176260413655,0.7492877893146483,0.11741682974559686,-407.20603117216405,-6107.09046758246,-20.174725266008227,20.174725266008227
0.05604655191960414,0.7577521408348479,0.15655577299412915,-406.43462291588844,-6095.519343738327,-27.967226297898616,27.967226297898616
0.06850134123507173,0.7660807690158709,0.19569471624266144,-405.4463313560195,-6080.694970340293,-36.969970900374584,36.969970900374584
0.08095613055053931,0.7742688372801756,0.23483365949119372,-404.24377374369027,-6062.656606155354,-47.14975618050832,47.14975618050832
0.0934109198660069,0.782311929061296,0.273972602739726,-402.8301246164912,-6041.451869247368,-58.469095789521006,58.469095789521006
0.10586570918147449,0.7902060491058345,0.3131115459882583,-401.20910143230685,-6017.136521484603,-70.88638003506367,70.88638003506367
0.11832049849694208,0.7979476228179455,0.3522504892367906,-399.3849477968729,-5989.774216953094,-84.35605332887738,84.35605332887738
0.13077528781240966,0.8055334937028085,0.3913894324853229,-397.3624143853419,-5959.436215780128,-98.82880812393363,98.82880812393363
0.14323007712787725,0.8129609189933317,0.43052837573385516,-395.1467376716181,-5926.201065074271,-114.25179441959527,114.25179441959527
0.15568486644334484,0.8202275635431546,0.46966731898238745,-392.7436165918868,-5890.154248878302,-130.56884384292536,130.56884384292536
0.16813965575881243,0.8273314920857204,0.5088062622309197,-390.1591872805318,-5851.387809207977,-147.72070724940383,147.72070724940383
0.18059444507428002,0.8342711599604373,0.547945205479452,-387.39999602742915,-5809.999940411437,-165.64530472720483,165.64530472720483
0.1930492343897476,0.8410454024174205,0.5870841487279843,-384.47297061533857,-5766.094559230079,-184.2779868361247,184.2779868361247
0.20550402370521517,0.8476534226132064,0.6262230919765166,-381.38539020475974,-5719.780853071396,-203.55180586552646,203.55180586552646
0.21795881302068276,0.8540947784159342,0.6653620352250489,-378.14485394106856,-5671.1728091160285,-223.39779585518224,223.39779585518224
0.23041360233615035,0.8603693681380777,0.7045009784735812,-374.7592484650007,-5620.388726975011,-243.74526008916175,243.74526008916175
0.24286839165161794,0.8664774153175334,0.7436399217221135,-371.23671451254,-5567.5507176881,-264.5220647454796,264.5220647454796
0.2553231809670855,0.8724194526658974,0.7827788649706457,-367.5856127939917,-5512.7841919098755,-285.6549373637628,285.6549373637628
0.2677779702825531,0.8781963053028028,0.821917808219178,-363.8144893444317,-5456.217340166476,-307.0697687789832,307.0697687789832
0.2802327595980207,0.8838090733917295,0.8610567514677103,-359.9320405388396,-5397.980608082594,-328.6919171619693,328.6919171619693
0.2926875489134883,0.8892591142906368,0.9001956947162426,-355.9470779650483,-5338.206169475725,-350.44651280635634,350.44651280635634
0.30514233822895587,0.8945480243260475,0.9393346379647749,-351.86849334616534,-5277.02740019248,-372.25876230703363,372.25876230703363
0.3175971275444235,0.8996776202955876,0.9784735812133072,-347.70522370138247,-5214.578355520737,-394.0542507867555,394.0542507867555
0.33005191685989105,0.9046499207983187,1.0176125244618395,-343.4662169301375,-5150.993253952062,-415.7592408452796,415.7592408452796
0.34250670617535867,0.9094671274874617,1.0567514677103718,-339.1603979994197,-5086.405969991295,-437.3009669290007,437.3009669290007
0.35496149549082623,0.9141316063338626,1.095890410958904,-334.79663590772356,-5020.949538615853,-458.60792384806393,458.60792384806393
0.3674162848062938,0.9186458689831226,1.1350293542074363,-330.38371159177376,-4954.755673876606,-479.6101482028421,479.6101482028421
0.3798710741217614,0.9230125542827905,1.1741682974559686,-325.9302869337465,-4887.954304006198,-500.23949152135316,500.23949152135316
0.39232586343722897,0.9272344100503016,1.213307240704501,-321.44487501738234,-4820.673125260735,-520.4298839539603,520.4298839539603
0.4047806527526966,0.9313142751458281,1.2524461839530332,-316.93581177117414,-4753.037176567612,-540.1175874212994,540.1175874212994
0.41723544206816415,0.9352550619085109,1.2915851272015655,-312.41122912585547,-4685.168436887832,-559.2414371651246,559.2414371651246
0.42969023138363177,0.9390597390083051,1.3307240704500978,-307.87902980173106,-4617.185447025966,-577.743070709904,577.743070709904
0.44214502069909933,0.9427313147602372,1.36986301369863,-303.34686382915197,-4549.202957437279,-595.5671433047652,595.5671433047652
0.4545998100145669,0.9462728209421027,1.4090019569471623,-298.82210689267845,-4481.3316033901765,-612.6615289809668,612.6615289809668
0.4670545993300345,0.9496872971516823,1.4481409001956946,-294.31184057634016,-4413.677608645103,-628.977506428774,628.977506428774
0.4795093886455021,0.9529777757343834,1.487279843444227,-289.82283457395795,-4346.342518609369,-644.4699289693673,644.4699289693673
0.4919641779609697,0.9561472673078808,1.5264187866927592,-285.3615309148812,-4279.422963723218,-659.0973779719096,659.0973779719096
0.5044189672764373,0.9591987469058725,1.5655577299412915,-280.93403024178343,-4213.010453626752,-672.8222991428868,672.8222991428868
0.5168737565919048,0.962135140759419,1.6046966731898238,-276.546080163463,-4147.191202451945,-685.61112119366,685.61112119366
0.5293285459073724,0.9649593137306454,1.643835616438356,-272.2030656920384,-4082.0459853805764,-697.434356473155,697.434356473155
0.5417833352228401,0.9676740574106705,1.6829745596868884,-267.91000176055013,-4017.650026408252,-708.2666832351856,708.2666832351856
0.5542381245383076,0.9702820788907062,1.7221135029354206,-263.67152780395924,-3954.0729170593886,-718.0870092929423,718.0870092929423
0.5666929138537752,0.9727859902130892,1.761252446183953,-259.49190437386204,-3891.378565607931,-726.8785168983464,726.8785168983464
0.5791477031692428,0.9751882985068404,1.8003913894324852,-255.37501174510257,-3829.6251761765384,-734.6286887685394,734.6286887685394
0.5916024924847104,0.977491396810851,1.8395303326810175,-251.32435046085777,-3768.8652569128667,-741.3293152672691,741.3293152672691
0.6040572818001779,0.9796975555863379,1.8786692759295498,-247.34304375183189,-3709.1456562774783,-746.9764828342205,746.9764828342205
0.6165120711156455,0.9818089149193433,1.917808219178082,-243.4338417549519,-3650.5076263242786,-751.5705438400872,751.5705438400872
0.6289668604311132,0.9838274774132225,1.9569471624266144,-239.5991274474907,-3592.9869117123603,-755.1160681290993,755.1160681290993
0.6414216497465808,0.9857551017707555,1.9960861056751467,-235.84092420390562,-3536.6138630585842,-757.6217765938576,757.6217765938576
0.6538764390620483,0.9875934970652079,2.035225048923679,-232.16090487491036,-3481.413573123655,-759.1004572083276,759.1004572083276
0.6663312283775159,0.9893442176998378,2.0743639921722115,-228.56040228144374,-3427.4060342216562,-759.5688640247982,759.5688640247982
0.6787860176929835,0.9910086590554382,2.1135029354207435,-225.04042101028082,-3374.6063151542126,-759.047599717309,759.047599717309
0.691240807008451,0.9925880538260523,2.152641878669276,-221.6016503930854,-3323.024755896281,-757.5609823291826,757.5609823291826
0.7036955963239186,0.9940834690433841,2.191780821917808,-218.24447854672778,-3272.6671782009166,-755.1368969533202,755.1368969533202
0.7161503856393863,0.9954958037912339,2.2309197651663406,-214.96900734970617,-3223.5351102455925,-751.8066331424701,751.8066331424701
0.7286051749548539,0.9968257876118476,2.2700587084148727,-211.77506822750598,-3175.62602341259,-747.604708910807,747.604708910807
0.7410599642703214,0.9980739796070109,2.309197651663405,-208.66223861869634,-3128.933579280445,-742.5686822482455,742.5686822482455
0.753514753585789,0.9992407682373367,2.3483365949119372,-205.62985899349394,-3083.447884902409,-736.7389511244721,736.7389511244721
0.7659695429012566,1.0003263718241506,2.3874755381604698,-202.67705029736823,-3039.1557544605234,-730.1585430103925,730.1585430103925
0.7784243322167241,1.0013308397589211,2.426614481409002,-199.8027316940295,-2996.040975410442,-722.8728949899676,722.8728949899676
0.7908791215321918,1.0022540544260385,2.4657534246575343,-197.00563848473703,-2954.0845772710554,-714.9296255744739,714.9296255744739
0.8033339108476594,1.0030957338450894,2.5048923679060664,-194.28434008431694,-2913.265101264754,-706.3782993659767,706.3782993659767
0.815788700163127,1.003855435039415,2.544031311154599,-191.63725793845413,-2873.558869076812,-697.2701857425194,697.2701857425194
0.8282434894785945,1.004532558137762,2.583170254403131,-189.0626832717472,-2834.940249076208,-687.6580127596819,687.6580127596819
0.8406982787940621,1.0051263512161561,2.6223091976516635,-186.55879456156765,-2797.381918423515,-677.5957174756313,677.5957174756313
0.8531530681095297,1.0056359158866999,2.6614481409001955,-184.12367463891377,-2760.8551195837067,-667.1381939143168,667.1381939143168
0.8656078574249972,1.0060602136399217,2.700587084148728,-181.75532732412472,-2725.329909861871,-656.3410398799962,656.3410398799962
0.8780626467404649,1.006398072946295,2.73972602739726,-179.45169351244232,-2690.7754026866346,-645.2603038284092,645.2603038284092
0.8905174360559325,1.0066481971220156,2.7788649706457926,-177.21066663191635,-2657.1599994787452,-633.9522329838879,633.9522329838879
0.9029722253714001,1.006809172962421,2.8180039138943247,-175.03010740397,-2624.45161105955,-622.4730238684165,622.4730238684165
