ρ = 0.1
Structure Factor Toggle = true
Tmp Path = ./Data
Iterations = 2500
k_max = 20
Exp G Toggle = true
Heaviside Toggle = true
After iteration 0, the error is 1.7e-10.
Converged after 2 iterations, the error is 8.5e-18.
  2.887920 seconds (3.23 M allocations: 215.218 MiB, 3.61% gc time, 99.83% compilation time)
ρ = 0.1
Structure Factor Toggle = true
Tmp Path = ./Data
Iterations = 2500
k_max = 20
Exp G Toggle = true
Heaviside Toggle = true
After iteration 0, the error is 1.7e-10.
Converged after 2 iterations, the error is 8.5e-18.
  2.486622 seconds (3.23 M allocations: 215.218 MiB, 3.95% gc time, 99.83% compilation time)
ρ = 0.1
Structure Factor Toggle = true
Tmp Path = ./Data
Iterations = 2500
k_max = 20
Exp G Toggle = true
Heaviside Toggle = true
After iteration 0, the error is 1.7e-10.
Converged after 2 iterations, the error is 8.5e-18.
  2.970717 seconds (3.23 M allocations: 215.218 MiB, 3.15% gc time, 99.05% compilation time)
ρ = 0.1
Structure Factor Toggle = true
Tmp Path = ./Data
Iterations = 2500
k_max = 20
Exp G Toggle = true
Heaviside Toggle = true
After iteration 0, the error is 1.7e-10.
Converged after 2 iterations, the error is 8.5e-18.
  2.502326 seconds (3.23 M allocations: 215.218 MiB, 4.10% gc time, 99.82% compilation time)
2524.702884 seconds (1.10 T allocations: 19.967 TiB, 64.89% gc time, 30.37% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     2.388697e+03              NaN
     2     5.183027e+01     1.238433e+04
     3     1.038804e+04     1.252892e+08
     4     2.007119e+03     2.084084e+07
     5     7.697390e+03     7.551118e+07
     6     3.618138e+04     1.454076e+09
     7     1.227253e+04     1.825274e+08
     8     1.206650e+04     2.390601e+08
     9     1.553257e+03     1.149692e+07
    10     7.605014e+02     3.432799e+06
    11     1.370442e+03     4.083262e+06
    12     3.926799e+03     1.664606e+07
    13     6.298256e+02     1.096817e+06
    14     3.923940e+03     2.761887e+07
    15     5.316416e+03     3.091210e+07
    16     1.480109e+03     6.502377e+06
    17     1.105815e+03     3.174169e+06
    18     9.491287e+03     1.039801e+08
    19     3.692533e+02     6.618850e+05
    20     1.220362e+03     4.125798e+06
    21     3.951762e+03     2.371280e+07
    22     8.981372e+02     6.939513e+06
    23     1.208139e+03     4.331292e+06
    24     2.443772e+02     3.419997e+05
    25     1.715110e+04     3.051883e+08
    26     1.910768e+02     2.418042e+05
    27     3.644543e+03     5.385646e+07
    28     1.434893e+03     3.450027e+06
    29     4.966030e+02     1.079772e+06
    30     2.190049e+03     1.406384e+07
    31     7.723169e+02     7.857811e+05
    32     1.337448e+03     2.881340e+06
    33     2.756039e+04     8.135572e+08
    34     8.251570e+03     9.046497e+07
    35     1.474768e+03     3.341641e+06
    36     7.469164e+03     5.658881e+07
    37     4.721063e+02     6.820827e+05
    38     1.618877e+03     8.638390e+06
    39     4.885522e+05     2.386869e+11
    40     1.502366e+03     3.698360e+06
    41     1.444529e+03     2.925381e+06
    42     2.734426e+03     8.565609e+06
    43     1.492872e+03     3.271669e+06
    44     1.989658e+03     5.369741e+06
    45     6.773798e+03     5.579092e+07
    46     7.784011e+03     6.492420e+07
    47     1.569982e+05     2.465531e+10
    48     6.815545e+02     1.548931e+06
    49     4.589057e+02     9.067210e+05
    50     5.423780e+03     3.147410e+07
    51     2.980692e+02     5.645685e+05
    52     5.014030e+02     7.740411e+05
    53     4.106865e+02     5.593182e+05
    54     2.309252e+03     1.272699e+07
    55     2.516417e+03     1.064654e+07
    56     1.317358e+04     2.354199e+08
    57     1.231439e+05     1.519763e+10
    58     1.050202e+03     2.243419e+06
    59     2.985472e+02     4.867139e+05
    60     1.490972e+03     4.126887e+06
    61     5.304755e+04     2.815322e+09
    62     8.087036e+02     2.549425e+06
    63     1.363963e+03     3.017675e+06
    64     5.990330e+03     3.653434e+07
    65     6.619478e+02     6.757028e+05
    66     5.767485e+02     1.320672e+06
    67     3.689295e+03     2.088967e+07
    68     2.454030e+03     1.220379e+07
    69     3.386456e+04     1.153801e+09
    70     7.899246e+04     7.502943e+09
    71     1.850883e+03     4.959567e+06
    72     1.201800e+03     3.510429e+06
    73     9.918727e+02     4.401769e+06
    74     1.959307e+03     5.282794e+06
    75     3.971498e+03     1.737484e+07
    76     5.339060e+02     1.591545e+06
    77     2.357814e+03     7.976903e+06
    78     5.258585e+02     1.380559e+06
    79     3.310052e+02     5.361632e+05
    80     9.524968e+03     1.210372e+08
    81     1.947032e+03     9.346470e+06
    82     1.984278e+03     7.020192e+06
    83     6.405715e+03     4.409619e+07
    84     1.559104e+04     2.483715e+08
    85     2.177987e+04     5.064451e+08
    86     3.956225e+03     2.128562e+07
    87     2.034547e+03     1.173664e+07
    88     8.766145e+02     2.979190e+06
    89     3.748448e+03     2.587574e+07
    90     5.158471e+02     7.346937e+05
    91     5.438720e+02     7.727590e+05
    92     2.058212e+03     6.008301e+06
    93     1.475518e+03     5.450663e+06
    94     1.185549e+03     1.826567e+06
    95     8.510548e+02     1.877527e+06
    96     2.624889e+02     2.748165e+05
    97     1.670526e+02     1.530968e+05
    98     1.321531e+03     2.759108e+06
    99     9.303108e+02     2.061459e+06
   100     1.043917e+03     2.239693e+06
   101     3.348809e+03     1.242397e+07
   102     1.109919e+04     1.370541e+08
   103     3.974991e+04     1.581907e+09
   104     4.858084e+03     2.556378e+07
