ρ = 0.8
Structure Factor Toggle = true
Tmp Path = ./Data
Iterations = 2500
k_max = 20
Exp G Toggle = true
Heaviside Toggle = true
After iteration 0, the error is 3.9038e-7.
Converged after 2 iterations, the error is 1.5e-12.
  2.428497 seconds (3.23 M allocations: 215.218 MiB, 3.99% gc time, 99.82% compilation time)
2515.729600 seconds (1.10 T allocations: 19.967 TiB, 65.48% gc time, 28.65% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     1.419762e+03              NaN
     2     1.420053e+03     2.142621e+06
     3     6.931136e+02     1.210842e+06
     4     6.775373e+02     1.494214e+06
     5     6.663427e+02     4.802520e+05
     6     3.466598e+02     1.431091e+05
     7     7.025069e+02     6.338909e+05
     8     9.427978e+01     3.701863e+04
     9     9.778555e+02     1.024827e+06
    10     7.011689e+01     3.617916e+04
    11     1.536631e+02     6.499348e+04
    12     1.534615e+03     3.024980e+06
    13     4.226784e+02     2.583748e+05
    14     5.059801e+02     3.731716e+05
    15     1.249045e+03     1.690551e+06
    16     1.032715e+02     5.610861e+04
    17     6.552568e+02     7.079341e+05
    18     1.833951e+02     1.079119e+05
    19     8.833433e+01     3.296444e+04
    20     4.886317e+02     2.866557e+05
    21     1.683948e+03     3.089434e+06
    22     8.279720e+02     7.035741e+05
    23     5.875617e+02     5.719841e+05
    24     1.041905e+02     2.391269e+04
    25     2.162864e+02     1.703021e+05
    26     8.295581e+01     4.651023e+04
    27     2.366820e+02     1.653346e+05
    28     5.543801e+03     3.093258e+07
    29     2.384216e+02     1.448872e+05
    30     3.421844e+02     2.651827e+05
    31     7.970524e+01     3.616183e+04
    32     4.585018e+01     1.755852e+04
    33     2.922483e+02     1.037144e+05
    34     4.005316e+02     2.287331e+05
    35     5.600302e+02     4.272213e+05
    36     1.430838e+03     2.257874e+06
    37     8.913748e+01     4.609961e+04
    38     5.192853e+04     2.696941e+09
    39     4.120745e+02     4.113042e+05
    40     1.661653e+03     3.137438e+06
    41     9.085817e+02     2.144934e+06
    42     2.262845e+02     1.231410e+05
    43     2.528328e+02     1.453716e+05
    44     4.522588e+02     3.051596e+05
    45     1.419990e+02     7.381444e+04
    46     3.268645e+02     2.328348e+05
    47     2.484561e+03     6.316737e+06
    48     3.791623e+02     1.909615e+05
    49     1.715374e+02     7.379846e+04
    50     1.727135e+03     4.827046e+06
