ρ = 0.7
Structure Factor Toggle = true
Tmp Path = ./Data
Iterations = 1000
After iteration 0, the error is 2.4733e-7.
Converged after 2 iterations, the error is 7.2e-13.
  4.188842 seconds (3.05 M allocations: 200.586 MiB, 2.50% gc time, 99.92% compilation time)
304.537724 seconds (5.14 G allocations: 2.464 TiB, 43.93% gc time, 63.06% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     0     3.417449e+02              NaN
     1     1.209375e+02     3.798970e+02
     2     6.222011e+01     1.492951e+02
     3     1.227636e+02     6.843494e-15
     4     7.548935e+01     1.617343e-15
     5     5.307368e+01     2.657597e+01
     6     2.134675e+03     2.436333e-15
     7     2.134675e+03     0.000000e+00
     8     2.134675e+03     0.000000e+00
     9     1.974132e+01     2.419125e+01
    10     4.383779e+01     2.492019e-15
    11     2.410548e+01     1.291007e-15
    12     2.087673e+01     1.233854e+01
    13     2.808208e+02     1.794643e-15
    14     3.934228e+01     1.491200e-15
    15     2.221965e+01     1.181654e+01
    16     2.686677e+01     1.466193e-15
    17     2.407222e+01     8.917491e-16
    18     2.376497e+01     6.131407e-16
    19     2.378026e+01     2.740982e+00
    20     1.954808e+01     4.042384e+00
    21     2.407959e+01     7.573255e-16
    22     2.287980e+01     5.424777e-16
    23     2.254619e+01     5.664450e-16
    24     2.243170e+01     2.455231e-16
    25     2.238606e+01     4.339999e-16
    26     2.236577e+01     2.250599e-16
    27     2.235575e+01     2.271892e-16
    28     2.212476e+01     1.152776e-16
    29     2.072203e+01     4.663042e-02
    30     1.980265e+01     9.253083e-02
    31     2.199344e+01     1.694089e-16
    32     2.091471e+01     4.351238e-02
    33     1.991527e+01     4.511523e-02
    34     2.045757e+01     2.206063e-02
    35     2.098830e+01     4.570447e-02
    36     1.953338e+01     7.850462e-17
    37     1.994918e+01     4.194984e-02
    38     2.045603e+01     2.056774e-02
    39     2.092549e+01     4.258426e-02
    40     1.960033e+01     1.144392e-16
    41     1.997056e+01     3.915407e-02
    42     2.044640e+01     1.925344e-02
    43     2.089144e+01     3.984462e-02
    44     1.964191e+01     1.010914e-16
    45     1.999468e+01     3.669665e-02
    46     2.044264e+01     1.809232e-02
    47     2.084467e+01     3.739705e-02
    48     1.968798e+01     1.249001e-16
    49     2.001193e+01     3.453013e-02
    50     2.043515e+01     1.705908e-02
    51     2.081217e+01     3.522035e-02
    52     1.972096e+01     5.721958e-17
    53     2.002900e+01     3.260262e-02
    54     2.042984e+01     1.613476e-02
    55     2.077611e+01     3.325951e-02
    56     1.975268e+01     1.241267e-16
    57     2.004276e+01     3.088175e-02
    58     2.042347e+01     1.530441e-02
    59     2.074543e+01     3.149506e-02
    60     1.977818e+01     2.607400e-16
    61     2.005513e+01     2.933627e-02
    62     2.041754e+01     1.455492e-02
    63     2.071530e+01     2.989593e-02
    64     1.980040e+01     7.850462e-17
    65     2.006575e+01     2.794311e-02
    66     2.041153e+01     1.387630e-02
    67     2.068691e+01     2.844382e-02
    68     1.981892e+01     1.110223e-16
    69     2.007504e+01     2.668278e-02
    70     2.040563e+01     1.326002e-02
    71     2.065938e+01     2.712068e-02
    72     1.983416e+01     9.714451e-17
    73     2.008323e+01     2.553967e-02
