ρ = 0.2
Structure Factor Toggle = true
Tmp Path = ./Data
Iterations = 1500
After iteration 0, the error is 2.48e-9.
Converged after 2 iterations, the error is 4.4e-16.
  4.638803 seconds (3.05 M allocations: 200.591 MiB, 2.77% gc time, 99.92% compilation time)
ρ = 0.2
Structure Factor Toggle = true
Tmp Path = ./Data
Iterations = 1500
After iteration 0, the error is 2.48e-9.
Converged after 2 iterations, the error is 4.4e-16.
  4.366466 seconds (3.05 M allocations: 200.586 MiB, 2.19% gc time, 99.94% compilation time)
237.110510 seconds (5.03 G allocations: 1.671 TiB, 37.80% gc time, 108.41% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     1.194610e+03              NaN
     2     4.597919e+02     4.698731e+05
     3     8.561192e+01     2.813849e+04
     4     1.854771e+03     5.802389e+06
     5     2.137028e+03     6.528743e+06
     6     1.014466e+04     1.172508e+08
     7     9.176424e+02     2.075567e+06
     8     1.918588e+03     8.900514e+06
     9     4.957406e+03     3.999651e+07
    10     6.082294e+02     1.578312e+06
    11     1.171016e+03     2.078732e+06
    12     6.759385e+02     9.107125e+05
    13     7.536111e+02     1.456123e+06
    14     9.041902e+02     1.297660e+06
    15     5.806676e+03     3.413022e+07
    16     2.657388e+03     7.959846e+06
    17     2.629350e+02     4.833564e+05
    18     1.616058e+02     2.401099e+05
    19     5.216613e+02     1.084241e+06
    20     8.831435e+03     9.260021e+07
    21     5.704342e+02     9.696741e+05
    22     7.600773e+03     6.356058e+07
    23     1.349947e+04     1.847409e+08
    24     6.750476e+02     1.259765e+06
    25     1.004649e+03     3.788350e+06
    26     8.830895e+02     2.333212e+06
    27     3.157174e+02     6.982389e+05
    28     6.668170e+02     9.477883e+05
    29     2.374228e+03     6.893065e+06
    30     1.897402e+02     2.387207e+05
    31     2.273718e+03     6.954564e+06
    32     2.327111e+02     1.952275e+05
    33     2.651640e+02     2.829136e+05
    34     1.031088e+02     8.930370e+04
    35     1.580338e+03     3.399900e+06
    36     3.354346e+02     4.102704e+05
    37     2.183750e+04     8.411992e+08
    38     6.835643e+03     4.842216e+07
    39     4.895764e+02     5.395177e+05
    40     5.025994e+02     4.886409e+05
    41     1.502882e+02     1.349588e+05
    42     1.209741e+02     7.409697e+04
    43     6.707018e+02     9.948351e+05
    44     1.586606e+02     1.242249e+05
    45     3.041971e+03     1.213417e+07
    46     4.590724e+02     2.720686e+05
    47     2.088058e+02     1.373421e+05
    48     1.837691e+03     4.967169e+06
    49     1.941344e+03     4.230066e+06
    50     1.785346e+03     6.825055e+06
    51     1.170503e+02     6.003390e+04
    52     7.000698e+01     1.983175e+04
    53     6.748733e+02     8.649599e+05
    54     8.286605e+02     1.965111e+06
    55     4.343031e+03     2.949978e+07
    56     2.130159e+05     4.543953e+10
    57     6.760010e+03     5.490539e+07
    58     2.537098e+03     1.043829e+07
    59     4.326609e+02     5.792205e+05
    60     2.310761e+02     1.976822e+05
    61     2.506667e+04     6.299948e+08
    62     3.377016e+03     1.434017e+07
    63     6.889755e+02     3.006390e+06
    64     1.960551e+03     1.130860e+07
    65     1.431270e+02     6.836753e+04
    66     2.852766e+03     8.269519e+06
