ρ = 0.6
Structure Factor Toggle = true
Tmp Path = ./Data
Iterations = 1500
After iteration 0, the error is 1.4446e-7.
Converged after 2 iterations, the error is 3.1e-13.
  5.154009 seconds (3.05 M allocations: 200.586 MiB, 2.47% gc time, 99.94% compilation time)
237.773347 seconds (5.03 G allocations: 1.671 TiB, 37.68% gc time, 59.31% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     5.324710e+02              NaN
     2     5.322094e+02     2.917633e+05
     3     1.980813e+02     4.347697e+04
     4     1.604536e+03     2.580285e+06
     5     5.918586e+01     6.546803e+03
     6     8.710066e+02     1.462149e+06
     7     6.236570e+03     4.119831e+07
     8     7.140241e+02     1.427665e+06
     9     1.395768e+03     3.113095e+06
    10     4.874817e+02     5.687240e+05
    11     2.278325e+03     8.990160e+06
    12     2.233899e+02     3.345921e+05
    13     2.114908e+03     5.443265e+06
    14     1.713944e+03     3.199155e+06
    15     1.091556e+04     1.192945e+08
    16     1.807334e+04     3.304109e+08
    17     1.697130e+02     1.348477e+05
    18     7.203999e+02     8.899833e+05
    19     7.907253e+02     7.424467e+05
    20     4.064093e+03     1.870572e+07
    21     6.428109e+02     5.021564e+05
    22     3.107494e+03     1.024652e+07
    23     6.621505e+03     4.411204e+07
    24     5.133233e+02     7.075982e+05
    25     1.295728e+03     1.884972e+06
    26     3.361298e+02     5.953438e+05
    27     5.240004e+02     4.129293e+05
    28     6.430720e+04     4.136289e+09
    29     2.944392e+02     2.195975e+05
    30     4.739409e+02     4.716127e+05
    31     1.224395e+02     6.402948e+04
    32     2.879132e+02     1.281333e+05
    33     6.756638e+01     2.305341e+04
    34     1.479881e+02     5.306019e+04
    35     4.328005e+02     2.645051e+05
    36     8.412930e+03     7.304495e+07
    37     5.049558e+04     2.550136e+09
    38     3.532151e+02     3.164040e+05
    39     4.453920e+02     4.340977e+05
    40     1.156129e+02     5.424704e+04
    41     4.626640e+02     2.385846e+05
    42     7.076588e+02     7.175035e+05
    43     1.659268e+03     2.777643e+06
    44     6.401827e+01     2.575724e+04
    45     4.401042e+02     2.729933e+05
    46     1.863766e+02     1.065278e+05
    47     4.621490e+02     3.321701e+05
    48     8.512591e+02     1.883240e+06
    49     6.868401e+02     8.298834e+05
    50     1.071773e+03     1.813807e+06
    51     6.042757e+02     7.199152e+05
    52     1.046286e+02     6.664770e+04
    53     4.745109e+03     2.256860e+07
    54     3.319723e+02     1.999592e+05
    55     4.046673e+02     2.661611e+05
    56     1.096139e+02     5.243258e+04
    57     5.478273e+01     1.803673e+04
    58     6.066870e+01     9.021894e+03
    59     3.683512e+01     5.950193e+03
    60     9.321236e+01     2.683601e+04
    61     6.419082e+02     7.692479e+05
    62     1.566684e+03     2.617851e+06
    63     7.942722e+03     6.376710e+07
    64     2.641007e+03     8.324116e+06
    65     4.601337e+03     3.049759e+07
    66     3.837834e+02     3.975991e+05
    67     4.916610e+02     4.801890e+05
    68     2.729931e+02     2.276035e+05
    69     1.358899e+02     7.036618e+04
    70     1.247293e+03     2.046546e+06
    71     1.911393e+02     1.476212e+05
    72     4.242607e+02     3.569810e+05
    73     3.704094e+03     1.629428e+07
    74     5.470119e+02     9.130803e+05
    75     2.662165e+03     7.430291e+06
    76     1.110596e+02     7.450933e+04
    77     5.207725e+01     2.069572e+04
    78     7.173448e+02     8.048516e+05
    79     3.637729e+03     1.363576e+07
    80     3.680095e+02     2.796248e+05
    81     3.212056e+03     1.074518e+07
    82     5.646043e+02     4.088568e+05
    83     2.591902e+03     1.218446e+07
    84     3.938690e+02     3.227822e+05
    85     2.123576e+03     4.850169e+06
    86     4.843449e+02     7.319174e+05
    87     2.090346e+02     1.217697e+05
    88     6.036177e+02     5.967419e+05
    89     9.036622e+01     4.539009e+04
    90     2.903742e+02     1.635470e+05
    91     6.266023e+02     4.471864e+05
    92     8.240621e+02     1.142999e+06
    93     6.081765e+02     5.233423e+05
    94     6.410670e+02     5.607163e+05
    95     8.726244e+02     1.189042e+06
    96     2.333344e+02     1.675958e+05
    97     9.365055e+02     1.413954e+06
    98     9.368991e+02     1.295787e+06
    99     1.463590e+03     2.245904e+06
   100     2.029602e+02     3.465738e+05
   101     1.534693e+03     2.460684e+06
   102     3.209012e+03     1.039919e+07
   103     1.407519e+02     1.658311e+05
   104     5.839370e+02     4.552341e+05
   105     1.621038e+02     7.584713e+04
   106     3.894747e+02     2.140249e+05
   107     1.100679e+02     5.111973e+04
   108     6.587854e+01     2.230944e+04
   109     5.334653e+01     1.673772e+04
   110     8.825649e+01     2.313336e+04
   111     2.947817e+02     1.270386e+05
   112     6.373328e+03     6.193040e+07
   113     5.746364e+02     1.799185e+06
   114     1.933495e+03     5.113080e+06
   115     9.616881e+03     9.640692e+07
   116     9.471193e+02     1.453748e+06
   117     2.599029e+02     2.311874e+05
   118     1.786529e+02     1.163887e+05
   119     9.435156e+01     3.846956e+04
   120     6.216209e+01     1.736402e+04
   121     1.447014e+02     3.056553e+04
   122     4.091387e+03     1.794193e+07
   123     1.279847e+03     1.890321e+06
   124     1.392106e+02     4.688325e+04
   125     4.568468e+03     3.998528e+07
   126     3.470996e+02     2.267665e+05
   127     3.408823e+02     3.569605e+05
   128     9.768992e+01     3.583194e+04
