ρ = 0.4
Structure Factor Toggle = true
Tmp Path = ./Data
Iterations = 2500
k_max = 20
After iteration 0, the error is 3.353e-8.
Converged after 2 iterations, the error is 2.9e-14.
  2.459781 seconds (3.05 M allocations: 200.589 MiB, 3.19% gc time, 99.93% compilation time)
171.130201 seconds (5.14 G allocations: 2.464 TiB, 51.83% gc time, 40.48% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     5.975745e+02              NaN
     2     6.309963e+02     6.952149e+05
     3     3.654705e+02     2.109789e+05
     4     1.733445e+02     7.937507e+04
     5     2.684189e+02     1.843796e+05
     6     5.856335e+03     3.457020e+07
     7     4.882441e+03     2.516576e+07
     8     6.501924e+03     4.282214e+07
     9     2.361482e+02     1.506717e+05
    10     8.411123e+02     1.138571e+06
    11     2.744384e+02     4.196280e+05
    12     3.356858e+02     1.590973e+06
    13     1.469584e+02     1.108982e+05
    14     1.123545e+03     1.308843e+06
    15     4.133113e+02     2.179104e+05
    16     6.910038e+03     4.779373e+07
    17     1.854534e+02     1.041401e+05
    18     7.031827e+02     1.300071e+06
    19     8.388667e+01     5.729622e+04
    20     6.837001e+02     6.652949e+05
    21     7.602495e+03     5.796572e+07
    22     5.543776e+02     4.488839e+05
    23     7.784464e+03     6.131336e+07
    24     4.452064e+02     3.201753e+05
    25     8.268852e+02     7.409861e+05
    26     1.624714e+03     3.910462e+06
    27     2.530283e+03     7.583417e+06
    28     4.862827e+03     2.395161e+07
    29     2.719224e+02     2.808945e+05
    30     4.868744e+02     4.533022e+05
    31     6.273872e+02     6.992959e+05
    32     1.351700e+03     1.937508e+06
    33     1.902306e+02     1.628964e+05
    34     9.284270e+01     5.450773e+04
    35     6.683363e+03     4.878139e+07
    36     2.384870e+02     9.413158e+04
    37     6.448625e+02     4.748406e+05
    38     9.716310e+02     1.679986e+06
    39     1.202529e+03     2.985109e+06
    40     1.586555e+03     8.307618e+06
    41     1.790005e+02     5.749024e+04
    42     8.178352e+01     1.891338e+04
    43     2.243823e+02     1.128732e+05
    44     4.730527e+03     2.304308e+07
    45     8.213895e+03     6.785231e+07
    46     2.040885e+03     4.828180e+06
    47     4.775113e+02     7.189316e+05
    48     1.599368e+02     1.211108e+05
    49     1.426497e+02     1.192351e+05
    50     2.125578e+03     5.291650e+06
    51     1.138420e+03     1.666274e+06
    52     1.533535e+03     2.684110e+06
    53     5.684332e+02     6.642718e+05
    54     1.118746e+03     1.501072e+06
    55     5.469442e+02     6.693823e+05
    56     1.839950e+02     2.501443e+05
    57     3.353894e+02     3.165409e+05
    58     1.035511e+02     7.916530e+04
    59     3.091935e+03     9.832774e+06
    60     4.166088e+02     2.798465e+05
    61     1.142531e+04     1.359254e+08
    62     7.005173e+03     5.043713e+07
    63     8.442581e+03     8.455776e+07
    64     5.337120e+02     4.726475e+05
    65     2.557145e+02     1.578014e+05
    66     1.360824e+02     8.086687e+04
    67     1.993916e+02     1.320478e+05
    68     7.878331e+01     2.211495e+04
    69     6.875716e+03     4.817850e+07
    70     7.403713e+02     1.628568e+06
    71     9.535913e+02     2.275628e+06
    72     4.854634e+02     3.870454e+05
    73     3.909377e+02     2.947568e+05
    74     1.467924e+02     7.461668e+04
    75     2.554743e+02     1.288324e+05
    76     2.465212e+02     1.560432e+05
    77     6.796651e+02     7.546954e+05
    78     3.036787e+02     2.155910e+05
    79     2.852411e+03     8.395108e+06
    80     4.259277e+02     6.052399e+05
    81     3.779751e+03     1.439917e+07
    82     2.717802e+02     2.650315e+05
    83     3.526826e+02     2.522270e+05
    84     2.782872e+02     2.281351e+05
    85     1.005066e+02     8.318737e+04
    86     2.899412e+03     1.159832e+07
    87     2.566592e+02     1.851712e+05
    88     5.764806e+01     3.569421e+04
    89     3.976767e+02     2.363998e+05
    90     1.847950e+02     1.070202e+05
    91     2.409684e+03     7.696440e+06
    92     3.896420e+02     3.900016e+05
    93     3.504535e+02     4.143728e+05
    94     8.202086e+02     9.367453e+05
    95     8.841491e+01     4.749582e+04
    96     1.769845e+03     6.220491e+06
    97     2.745504e+02     1.277748e+05
    98     6.232249e+02     4.168987e+05
    99     4.795044e+02     3.909116e+05
   100     2.237979e+02     2.047924e+05
   101     8.746276e+02     1.310841e+06
   102     3.049422e+02     2.875373e+05
   103     1.108388e+05     1.228583e+10
   104     9.902128e+03     1.000593e+08
   105     1.591233e+03     3.461645e+06
   106     3.738917e+02     5.181753e+05
   107     1.006557e+03     1.398476e+06
   108     1.851252e+02     2.194905e+05
   109     1.089805e+02     8.175269e+04
   110     2.676310e+02     2.384768e+05
   111     4.370409e+02     4.324003e+05
   112     4.534224e+02     5.118188e+05
   113     1.693288e+03     4.738080e+06
   114     4.215210e+02     5.117383e+05
   115     4.254609e+02     1.100058e+06
   116     6.266387e+02     8.691893e+05
   117     4.205064e+03     1.799866e+07
   118     1.707891e+03     3.138378e+06
   119     2.602578e+02     3.313380e+05
   120     4.625647e+02     4.039684e+05
   121     1.216965e+02     9.847689e+04
   122     1.319794e+02     8.301952e+04
   123     1.529896e+03     4.157049e+06
   124     1.324869e+03     2.020531e+06
   125     2.756084e+02     1.513084e+05
   126     1.559199e+03     4.820223e+06
   127     1.435306e+03     3.204007e+06
   128     7.434826e+03     6.307075e+07
   129     1.351255e+04     1.854031e+08
   130     2.295408e+02     3.623913e+05
   131     2.864820e+02     2.632702e+05
   132     3.964926e+02     3.284760e+05
   133     7.947304e+03     6.331396e+07
   134     3.559501e+02     4.332725e+05
   135     1.021647e+02     7.304133e+04
   136     4.748600e+02     3.703505e+05
   137     5.341195e+02     5.950255e+05
   138     2.324580e+03     8.839285e+06
   139     7.393519e+02     9.349364e+05
   140     3.509939e+03     1.972245e+07
   141     4.560052e+02     5.024398e+05
   142     9.122750e+02     9.706069e+05
   143     2.711509e+02     2.609164e+05
   144     1.188326e+02     1.028930e+05
   145     1.271406e+03     3.026618e+06
   146     6.352873e+02     8.843870e+05
   147     2.755409e+03     8.107081e+06
   148     6.352166e+02     6.550713e+05
   149     3.688621e+04     1.382412e+09
   150     3.546315e+03     3.347718e+07
   151     7.980139e+04     6.368916e+09
   152     1.115600e+03     1.741716e+06
   153     2.797166e+03     9.609929e+06
   154     7.478685e+03     6.055614e+07
   155     1.831602e+03     4.942853e+06
   156     6.130221e+02     1.082213e+06
   157     3.949169e+02     5.029334e+05
   158     1.124287e+03     2.405558e+06
   159     3.434933e+02     2.831202e+05
   160     1.078191e+04     1.360165e+08
   161     1.305546e+03     1.947533e+06
   162     2.770650e+04     7.707927e+08
   163     6.417990e+02     1.437411e+06
   164     7.555684e+02     1.061853e+06
   165     2.468886e+03     8.146348e+06
   166     4.706801e+02     7.072659e+05
   167     1.313881e+03     1.924716e+06
   168     2.823156e+02     3.940900e+05
   169     1.425242e+02     1.287328e+05
   170     9.052685e+02     9.454047e+05
   171     2.328179e+02     2.265752e+05
   172     2.314964e+03     6.937573e+06
   173     1.658277e+03     5.471521e+06
   174     4.878686e+03     4.455833e+07
   175     2.149160e+03     8.781955e+06
   176     4.748977e+02     6.379609e+05
   177     1.308159e+04     1.717848e+08
   178     5.492813e+02     8.397490e+05
   179     2.258408e+02     2.312793e+05
   180     1.451576e+02     9.582067e+04
   181     6.711286e+02     5.187196e+05
   182     1.122572e+02     5.531711e+04
   183     1.546714e+02     6.723664e+04
   184     2.025862e+02     8.485932e+04
   185     2.937448e+02     4.104182e+05
   186     1.118280e+03     1.438175e+06
   187     3.896482e+03     2.110290e+07
   188     1.453882e+03     3.759099e+06
   189     1.046228e+02     7.655675e+04
   190     1.019281e+03     2.390002e+06
   191     3.065067e+04     9.397867e+08
   192     3.333548e+03     1.146002e+07
   193     3.962838e+02     6.147509e+05
   194     4.055570e+02     2.066103e+05
   195     3.846909e+02     2.231032e+05
   196     3.330198e+02     3.543631e+05
   197     4.950945e+02     6.357698e+05
   198     3.533263e+03     1.322216e+07
   199     4.786985e+04     2.300651e+09
   200     3.548839e+03     2.263423e+07
   201     1.160931e+03     1.656185e+06
   202     4.975263e+02     4.258902e+05
   203     2.108592e+03     8.880133e+06
   204     3.422181e+02     2.374020e+05
   205     9.863262e+02     1.411801e+06
   206     1.767627e+02     9.969199e+04
   207     6.123794e+02     8.644129e+05
   208     9.317563e+02     1.824413e+06
   209     1.590112e+02     1.275063e+05
   210     3.859872e+02     4.110658e+05
   211     3.169892e+03     1.117749e+07
   212     5.367121e+03     3.339017e+07
   213     3.674428e+02     2.926969e+05
   214     1.336025e+02     7.730406e+04
   215     4.334453e+03     2.026879e+07
   216     1.144215e+03     3.292774e+06
   217     8.185928e+03     6.792005e+07
   218     4.910794e+02     8.555949e+05
   219     1.470211e+03     3.009829e+06
   220     4.600356e+03     2.742636e+07
   221     3.323043e+03     1.337094e+07
   222     1.077702e+04     1.167022e+08
   223     4.128518e+02     8.874986e+05
   224     5.305090e+02     5.368164e+05
   225     2.728188e+02     2.599613e+05
   226     8.569799e+02     1.455412e+06
   227     5.823797e+03     3.416145e+07
   228     9.089387e+03     8.587048e+07
   229     3.479632e+02     3.638773e+05
   230     4.408478e+03     2.250243e+07
   231     2.020402e+03     5.091647e+06
   232     8.550165e+03     7.368872e+07
   233     8.810249e+02     2.120888e+06
   234     5.065134e+02     5.737734e+05
   235     1.673390e+02     1.648754e+05
   236     1.415728e+02     8.312573e+04
   237     6.588005e+02     7.488868e+05
   238     2.700084e+02     1.899474e+05
