ρ = 10.0
Structure Factor Toggle = false
Tmp Path = ./Data
Iterations = 2500
k_max = 20
After iteration 0, the error is 0.00011036799.
Converged after 4 iterations, the error is 1.0e-12.
  2.661104 seconds (3.07 M allocations: 200.746 MiB, 3.16% gc time, 99.91% compilation time)
 17.291769 seconds (4.72 G allocations: 84.241 GiB, 41.99% gc time, 290.44% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     1.392409e+02              NaN
     2     2.674946e+02     1.705187e+05
     3     3.106156e+02     2.294174e+05
     4     2.100595e+03     1.058842e+07
     5     1.054341e+03     2.719134e+06
     6     1.047198e+03     2.677576e+06
     7     1.046626e+03     2.669723e+06
     8     1.047328e+03     3.414399e+06
     9     4.507993e+01     4.753264e+03
    10     3.091068e+04     1.313293e+09
    11     1.201700e+03     3.142304e+06
    12     1.400509e+03     4.191929e+06
    13     1.299284e+03     3.627816e+06
    14     1.426562e+03     4.332545e+06
    15     7.398337e+02     1.237644e+06
    16     2.289789e+02     2.336179e+05
    17     6.007251e+02     7.865600e+05
    18     2.340141e+03     6.243355e+06
    19     7.625448e+02     1.188709e+06
    20     5.573370e+02     1.297280e+06
    21     1.109976e+04     2.838230e+08
    22     1.384400e+03     4.170835e+06
    23     8.139256e+02     2.029639e+06
    24     2.984823e+02     1.930347e+05
    25     6.437527e+02     6.358257e+05
    26     1.041679e+03     1.322636e+06
    27     3.129329e+02     2.345630e+05
    28     3.126585e+02     2.745961e+05
    29     1.184376e+02     5.037473e+04
    30     1.419127e+03     4.291731e+06
    31     3.960896e+03     2.223550e+07
    32     5.863264e+03     3.752604e+07
    33     1.873244e+03     9.113764e+06
    34     3.517178e+03     1.938902e+07
    35     4.074023e+02     3.910401e+05
    36     9.439039e+02     1.930657e+06
    37     4.232836e+02     4.055317e+05
    38     4.505230e+03     3.667192e+07
    39     6.982110e+02     1.130015e+06
    40     8.589306e+02     1.669186e+06
    41     8.278031e+02     1.551289e+06
    42     5.066202e+02     6.085143e+05
    43     5.348626e+02     7.247266e+05
    44     3.062302e+02     3.448268e+05
    45     4.085357e+03     3.403896e+07
    46     3.434189e+03     3.008871e+07
    47     3.121401e+03     2.914926e+07
    48     4.392313e+02     4.464404e+05
    49     5.852592e+03     4.746464e+07
    50     9.979353e+02     2.461416e+06
    51     3.999373e+02     3.340642e+05
    52     3.128135e+03     1.893131e+07
    53     1.095959e+03     2.687047e+06
    54     6.614240e+02     1.045700e+06
    55     3.157359e+02     3.268809e+05
    56     2.589349e+02     2.782791e+05
    57     3.089845e+02     3.292743e+05
    58     1.908123e+04     3.655918e+08
    59     6.216619e+02     2.186125e+06
    60     9.207800e+03     9.079139e+07
    61     1.137763e+04     1.857456e+08
    62     4.229586e+02     1.002169e+06
    63     9.809627e+01     1.248636e+04
    64     9.495194e+02     1.915658e+06
    65     3.857334e+02     2.752164e+05
    66     4.199919e+02     3.536456e+05
    67     2.685866e+02     1.183019e+05
    68     7.820560e+02     1.374402e+06
    69     2.961075e+02     2.056970e+05
    70     6.243661e+02     8.809086e+05
    71     3.374066e+04     1.143001e+09
    72     6.869453e+03     5.165830e+07
    73     3.835215e+03     1.674521e+07
    74     5.397889e+02     1.499848e+06
    75     5.215258e+02     6.208886e+05
    76     1.085604e+03     2.585419e+06
    77     3.222348e+04     1.092871e+09
    78     7.538984e+03     1.432182e+08
    79     8.198737e+03     1.495147e+08
    80     4.657613e+04     2.245037e+09
    81     9.227465e+04     8.590202e+09
    82     7.453203e+03     5.775654e+07
    83     2.506880e+03     2.347281e+07
    84     1.200514e+03     6.312173e+06
    85     5.618266e+02     6.914145e+05
    86     5.420510e+02     7.740381e+05
    87     7.470380e+02     1.407414e+06
    88     3.245903e+02     2.914768e+05
    89     2.624871e+02     1.623069e+05
    90     3.596691e+02     3.025872e+05
    91     2.970752e+02     2.089791e+05
    92     6.649920e+02     1.046747e+06
    93     8.212708e+02     1.753606e+06
    94     8.212727e+02     1.754364e+06
    95     8.212531e+02     1.755588e+06
    96     8.232094e+02     1.737977e+06
    97     8.231220e+02     1.711528e+06
    98     1.359040e+03     2.806043e+06
    99     3.838435e+02     4.634960e+05
   100     5.686027e+02     1.023848e+06
   101     1.680132e+03     5.681021e+06
   102     1.435698e+04     3.357637e+08
   103     4.756907e+02     6.231945e+05
   104     3.324150e+02     2.988738e+05
   105     4.116611e+03     4.447586e+07
   106     6.170728e+02     8.121625e+05
   107     2.688173e+03     7.782696e+06
   108     3.450272e+02     6.682142e+05
   109     1.942599e+03     4.710880e+06
   110     4.304475e+03     3.164425e+07
   111     4.521515e+02     1.137482e+06
   112     6.216427e+02     1.116615e+06
   113     7.421852e+02     1.998772e+06
   114     1.450106e+03     3.313904e+06
   115     1.702739e+03     3.891675e+06
   116     4.062254e+03     1.935230e+07
   117     6.936610e+02     1.545782e+06
   118     3.700915e+02     4.588539e+05
   119     7.290972e+02     1.191283e+06
   120     4.469121e+02     4.579782e+05
   121     1.064444e+04     1.469889e+08
   122     1.653439e+04     3.193735e+08
   123     1.112431e+04     1.658247e+08
   124     9.748401e+02     3.425169e+06
   125     2.575318e+04     6.701967e+08
   126     9.167439e+02     1.974524e+06
   127     6.596755e+02     1.150349e+06
   128     2.718902e+02     2.505953e+05
   129     1.851032e+02     9.736452e+04
   130     2.395693e+02     1.777660e+05
   131     1.692331e+02     7.080342e+04
   132     3.252707e+02     2.479830e+05
   133     1.196036e+04     1.478977e+08
   134     1.365235e+03     5.961222e+06
   135     1.666925e+03     6.415299e+06
   136     8.548999e+03     8.023236e+07
   137     1.633388e+03     4.604553e+06
   138     4.525374e+03     3.495011e+07
   139     5.989445e+03     3.744043e+07
   140     1.181275e+03     3.291191e+06
   141     3.503069e+03     2.370230e+07
   142     1.993282e+03     9.087163e+06
   143     1.071819e+03     2.789162e+06
   144     3.286059e+02     2.628272e+05
   145     1.262304e+03     3.043946e+06
   146     4.647266e+02     8.437262e+05
   147     1.206326e+02     2.015366e+04
   148     6.673572e+01     9.081699e+03
   149     3.103258e+02     2.324630e+05
   150     1.864604e+02     9.029047e+04
   151     2.983040e+02     2.160495e+05
   152     5.479794e+01     1.013836e+04
   153     6.330742e+02     9.094907e+05
   154     6.595150e+02     9.959502e+05
   155     3.951522e+02     3.741973e+05
   156     4.861956e+02     5.703374e+05
   157     6.021552e+02     8.041697e+05
   158     5.101701e+02     5.781766e+05
   159     1.254986e+03     3.734274e+06
   160     9.722988e+02     2.341091e+06
   161     2.039550e+03     6.356964e+06
   162     8.603873e+02     2.292207e+06
   163     9.191800e+02     2.727131e+06
   164     1.634986e+01     5.749322e+02
   165     2.821160e+02     1.892207e+05
   166     7.828496e+02     1.378999e+06
   167     2.785680e+02     1.889060e+05
   168     1.895982e+03     7.455378e+06
   169     3.686104e+03     2.564548e+07
   170     2.752040e+03     1.491916e+07
   171     1.602397e+04     6.108142e+08
   172     1.006947e+03     2.249945e+06
   173     1.955234e+03     7.914098e+06
   174     6.836944e+02     9.856639e+05
   175     8.092232e+02     1.368510e+06
   176     7.913065e+02     1.322754e+06
   177     2.198686e+03     1.200048e+07
   178     5.864635e+02     1.005120e+06
   179     4.749884e+02     7.281270e+05
   180     5.977286e+02     1.033512e+06
   181     1.245154e+03     3.591691e+06
   182     4.136753e+01     3.694782e+03
   183     1.257903e+03     3.435113e+06
   184     1.724374e+04     3.256421e+08
   185     6.360765e+03     5.414928e+07
   186     4.430555e+03     3.485211e+07
   187     4.253075e+04     1.821531e+09
   188     5.209564e+02     6.307098e+05
   189     1.133182e+03     3.957141e+06
   190     1.103152e+03     2.418161e+06
   191     6.585755e+02     1.036377e+06
   192     3.344878e+02     2.952045e+05
   193     4.157510e+02     5.406947e+05
   194     4.203828e+02     4.776461e+05
   195     9.481317e+03     1.085530e+08
   196     5.870451e+04     3.487407e+09
   197     3.525843e+04     1.299021e+09
   198     1.060187e+02     4.518803e+04
   199     2.588651e+02     1.575574e+05
   200     1.185844e+03     5.273855e+06
   201     1.463885e+02     6.214758e+04
   202     1.117554e+05     1.250832e+10
   203     1.518871e+04     2.506139e+08
   204     6.260860e+03     4.616548e+07
   205     1.162695e+03     2.977518e+06
   206     7.332897e+02     1.217316e+06
   207     1.214208e+04     2.569614e+08
   208     4.231805e+03     2.759966e+07
   209     4.070106e+03     2.606061e+07
   210     8.119264e+03     7.335061e+07
   211     3.031943e+03     1.740792e+07
   212     6.837158e+02     1.808330e+06
   213     7.906600e+02     1.451191e+06
   214     2.222572e+05     4.950774e+10
   215     1.124419e+04     1.674796e+08
   216     9.659501e+03     1.192998e+08
   217     2.189793e+05     4.799295e+10
   218     1.082533e+04     1.533588e+08
   219     5.169591e+02     9.068257e+05
   220     4.976223e+02     4.901545e+05
   221     1.843835e+03     7.742860e+06
   222     8.118006e+02     1.602347e+06
   223     9.124351e+02     1.711817e+06
   224     8.866408e+02     1.569411e+06
   225     7.875035e+02     1.275907e+06
   226     7.309334e+02     1.102927e+06
   227     2.274719e+02     4.132817e+05
   228     8.164938e+02     1.510302e+06
   229     6.269018e+02     8.731111e+05
   230     1.393770e+03     2.824667e+06
   231     8.278605e+02     1.503094e+06
   232     1.075052e+03     2.424300e+06
   233     5.844427e+02     7.725320e+05
   234     5.785921e+02     7.710619e+05
   235     2.343558e+03     1.307213e+07
   236     1.337310e+03     4.309851e+06
   237     1.381414e+03     4.596428e+06
   238     1.398321e+03     4.709768e+06
   239     1.590499e+02     6.507862e+04
   240     1.312908e+02     4.332175e+04
   241     1.301692e+02     4.254425e+04
   242     8.394384e+02     1.580078e+06
   243     6.236319e+02     8.892849e+05
   244     1.303628e+03     3.680753e+06
   245     4.980126e+03     4.432011e+07
   246     1.273090e+04     2.099315e+08
   247     3.524974e+02     2.956548e+05
   248     4.898792e+02     5.673407e+05
   249     1.404027e+03     4.226043e+06
   250     1.004849e+03     2.233757e+06
   251     8.174760e+02     1.503417e+06
   252     1.128675e+04     1.948783e+08
   253     1.122237e+04     1.928875e+08
   254     6.320995e+02     9.252361e+05
   255     6.618208e+02     1.018621e+06
   256     7.546748e+02     1.331436e+06
   257     1.377864e+03     4.651773e+06
   258     1.214009e+03     3.901514e+06
   259     1.402280e+03     4.631182e+06
   260     1.340573e+03     8.442728e+06
   261     8.658807e+02     2.363604e+06
   262     9.454837e+03     1.266794e+08
   263     1.162593e+03     1.863942e+06
   264     1.013856e+03     1.482520e+06
   265     4.078031e+03     2.254994e+07
   266     1.610643e+03     8.395197e+06
   267     3.234492e+03     1.640829e+07
   268     1.203622e+03     2.988731e+06
   269     3.587405e+02     4.300736e+05
   270     2.481874e+02     2.457964e+05
   271     2.319995e+02     8.713287e+04
   272     1.639552e+02     5.076469e+04
   273     1.334348e+02     5.997313e+04
   274     1.179518e+02     4.394444e+04
   275     1.371718e+02     6.601958e+04
   276     4.571095e+03     3.450776e+07
   277     8.512968e+02     1.658929e+06
   278     1.016417e+03     2.178908e+06
   279     6.030643e+02     8.847257e+05
   280     1.001381e+04     1.055987e+08
   281     3.850714e+02     8.793892e+05
   282     3.135177e+02     6.727405e+05
   283     7.181491e+02     1.813896e+06
   284     4.450184e+02     3.396762e+05
   285     7.541290e+02     6.817502e+05
   286     2.681337e+02     2.484848e+05
   287     1.473873e+02     8.351396e+04
   288     1.993820e+02     1.080104e+05
   289     1.948385e+02     9.978078e+04
   290     1.900107e+02     9.545700e+04
   291     7.376118e+02     1.237928e+06
   292     4.211291e+02     4.097250e+05
   293     9.019776e+02     1.782436e+06
   294     1.150835e+03     2.861023e+06
   295     1.916469e+02     1.130514e+05
   296     5.743566e+02     7.553437e+05
   297     1.225469e+03     3.758290e+06
   298     9.741460e+02     3.295955e+06
   299     1.887357e+03     7.369440e+06
   300     2.770253e+02     1.715043e+05
   301     7.661563e+02     1.294419e+06
   302     6.381842e+02     9.118633e+05
   303     9.815062e+02     2.116426e+06
   304     9.482334e+02     1.969736e+06
   305     7.204610e+02     1.112493e+06
   306     4.788081e+02     5.378646e+05
   307     1.324952e+03     3.749912e+06
   308     9.195889e+02     2.804149e+06
   309     8.167907e+02     1.937077e+06
   310     8.127217e+02     2.279420e+06
   311     1.303872e+03     4.003235e+06
   312     6.749955e+01     9.301641e+03
   313     5.446716e+02     6.831832e+05
   314     3.645257e+02     3.218382e+05
   315     3.301664e+02     2.654152e+05
   316     3.355075e+02     2.718266e+05
   317     3.117322e+02     2.350945e+05
   318     2.907711e+02     2.011962e+05
   319     3.231451e+02     2.459049e+05
   320     3.821353e+02     3.390516e+05
   321     1.348582e+02     5.094348e+04
   322     7.473434e+02     2.207185e+06
   323     7.472259e+02     2.087815e+06
   324     6.931372e+02     1.290703e+06
   325     6.771326e+02     1.169220e+06
   326     4.330723e+02     4.350356e+05
   327     4.267552e+02     4.235248e+05
   328     2.507544e+03     1.007338e+07
   329     3.730336e+03     1.775962e+07
   330     1.173791e+03     4.751565e+06
   331     8.968209e+03     1.297069e+08
   332     1.399691e+03     4.513298e+06
   333     4.110983e+02     4.086121e+05
   334     9.423114e+01     2.103683e+04
   335     3.358671e+01     3.854913e+03
   336     7.288938e+02     1.237022e+06
   337     6.794496e+03     6.499214e+07
   338     6.050475e+02     1.240913e+06
   339     6.630650e+02     1.567428e+06
   340     1.132944e+03     2.805647e+06
   341     3.326870e+02     2.745145e+05
   342     1.681045e+04     3.851502e+08
   343     9.311483e+02     2.024479e+06
   344     1.012496e+03     2.550640e+06
   345     3.745967e+02     4.676918e+05
   346     3.731183e+02     5.389704e+05
   347     3.742651e+02     5.843796e+05
   348     7.372459e+02     1.853336e+06
   349     5.602279e+01     1.022902e+04
   350     2.773233e+01     2.375138e+03
   351     4.687445e+01     5.565747e+03
   352     5.502003e+01     7.545784e+03
   353     4.767511e+01     5.722725e+03
   354     8.840086e+02     1.748551e+06
   355     4.301080e+02     5.338360e+05
   356     4.363010e+02     5.489388e+05
   357     2.224629e+03     1.244470e+07
   358     2.765811e+03     1.490515e+07
   359     2.858806e+03     1.588242e+07
   360     2.032238e+03     4.588017e+06
   361     1.366464e+03     2.395514e+06
   362     5.004752e+02     1.159099e+06
   363     2.721172e+03     1.412711e+07
   364     6.387737e+03     4.292114e+07
   365     3.896952e+02     8.342618e+05
   366     2.363990e+03     8.021855e+06
   367     6.206664e+03     5.785466e+07
   368     5.115392e+03     2.921823e+07
   369     1.016357e+03     2.880499e+06
   370     3.799642e+04     1.445082e+09
   371     1.320374e+03     3.479861e+06
   372     6.916857e+02     2.181850e+06
   373     3.986641e+02     7.148085e+05
   374     9.709155e+04     1.060643e+10
   375     8.294097e+03     1.122013e+08
   376     6.966914e+04     4.959918e+09
   377     2.337175e+06     5.464760e+12
   378     4.036070e+04     1.946975e+09
   379     5.435128e+02     6.943113e+05
   380     8.959120e+02     1.822774e+06
   381     7.195495e+02     1.184748e+06
   382     5.754927e+02     7.610564e+05
   383     1.468767e+04     4.940292e+08
   384     8.467395e+04     7.335262e+09
   385     2.111475e+04     6.893059e+08
   386     4.787589e+02     5.272235e+05
   387     9.054512e+02     1.858627e+06
   388     5.413476e+02     6.538747e+05
   389     8.141681e+02     1.448833e+06
   390     7.103248e+02     1.324359e+06
   391     6.729212e+02     1.661873e+06
   392     1.207130e+03     2.576982e+06
   393     4.812859e+02     6.652747e+05
   394     1.108910e+03     1.794870e+06
   395     1.758076e+03     3.544760e+06
   396     2.850405e+02     3.643654e+05
   397     2.177473e+02     1.417270e+05
   398     4.529787e+02     4.876770e+05
   399     6.985416e+02     1.092959e+06
   400     7.275025e+02     1.138717e+06
   401     2.572836e+03     1.282521e+07
   402     9.506702e+04     9.671849e+09
   403     4.179366e+04     1.801601e+09
   404     7.267306e+03     6.506503e+07
   405     3.675754e+03     1.495091e+07
   406     1.010172e+03     4.950018e+06
   407     6.286850e+02     1.645706e+06
   408     3.211667e+03     1.200120e+07
   409     5.850090e+03     3.593769e+07
   410     1.170732e+03     3.374131e+06
   411     3.614002e+03     1.428670e+07
   412     1.325638e+03     2.736490e+06
   413     2.456284e+03     9.462278e+06
   414     1.647481e+03     6.856095e+06
   415     1.442570e+03     3.572698e+06
   416     5.291453e+03     4.802918e+07
   417     3.496181e+03     2.373607e+07
   418     1.042511e+03     2.862314e+06
   419     1.083764e+03     2.343212e+06
   420     1.122400e+03     2.156330e+06
   421     1.889033e+04     3.800021e+08
