ρ = 6.0
Structure Factor Toggle = false
Tmp Path = ./Data
Iterations = 1500
k_max = 30
After iteration 0, the error is 6.344486e-5.
Converged after 4 iterations, the error is 1.2e-13.
  2.544844 seconds (3.07 M allocations: 200.746 MiB, 3.04% gc time, 99.91% compilation time)
 17.426879 seconds (4.72 G allocations: 84.241 GiB, 40.58% gc time, 468.58% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     4.178120e+01              NaN
     2     6.875320e+01     4.921459e+03
     3     3.445944e+01     1.423191e+03
     4     2.105606e+01     7.816598e+02
     5     1.904810e+01     7.736368e+02
     6     1.805276e+01     5.808212e+02
     7     1.950982e+01     7.181922e+02
     8     3.098077e+01     1.243041e+03
     9     9.326314e+02     8.699344e+05
    10     8.132849e+00     1.802966e+02
    11     1.056548e+02     1.118541e+04
    12     6.624812e+01     4.490128e+03
    13     1.252062e+01     2.249981e+02
    14     1.871149e+01     3.801962e+02
    15     3.453293e+02     1.192752e+05
    16     2.322127e+01     5.574941e+02
    17     8.227601e+01     6.807317e+03
    18     5.014051e+01     2.552461e+03
    19     1.507921e+01     2.890324e+02
    20     7.994257e+00     1.651511e+02
    21     1.288723e+01     2.311388e+02
    22     1.076907e+01     1.844791e+02
    23     1.971040e+01     4.548134e+02
    24     1.075099e+02     1.162277e+04
    25     3.953011e+01     1.593743e+03
    26     3.929161e+01     1.629779e+03
    27     5.776260e+01     3.383011e+03
    28     4.032622e+01     1.646735e+03
    29     4.113435e+01     1.712562e+03
    30     1.009867e+01     1.210099e+02
    31     2.080102e+01     4.559104e+02
    32     4.408711e+01     1.966135e+03
    33     5.245882e+01     2.779430e+03
    34     2.119745e+01     5.144013e+02
    35     7.811960e+01     6.190297e+03
    36     1.148686e+01     1.326913e+02
    37     3.173624e+00     2.106085e+01
    38     8.788219e+00     7.925277e+01
    39     3.901165e+00     2.219544e+01
    40     4.722109e+00     3.103950e+01
    41     5.484529e+00     4.247324e+01
    42     8.457718e+00     8.514988e+01
    43     8.666141e+00     8.541108e+01
    44     1.380744e+00     2.442951e+00
    45     8.503801e-02     7.263721e-03
    46     1.371213e-02     2.009427e-04
    47     3.705924e-03     1.469086e-05
 10.686066 seconds (9.77 M allocations: 975.180 MiB, 5.42% gc time, 68.70% compilation time)
Creating CSV
FT samples created
Structure Factor samples created
All tasks completed
