ρ = 9.0
Structure Factor Toggle = false
Tmp Path = ./Data
Iterations = 1500
k_max = 30
After iteration 0, the error is 0.00010105637.
Converged after 4 iterations, the error is 7.0e-13.
  2.579787 seconds (3.07 M allocations: 200.746 MiB, 3.17% gc time, 99.91% compilation time)
 17.134983 seconds (4.72 G allocations: 84.241 GiB, 40.23% gc time, 451.58% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
------   --------------   --------------
     1     4.465815e+01              NaN
     2     2.492455e+02     6.410324e+04
     3     4.055578e+01     4.271467e+03
     4     2.322334e+01     1.906923e+03
     5     3.007580e+01     1.701105e+03
     6     3.126734e+01     1.495921e+03
     7     1.463101e+03     2.140983e+06
     8     1.325657e+01     7.932560e+02
     9     1.369883e+01     6.795691e+02
    10     2.463151e+01     9.040586e+02
    11     3.299683e+01     1.357032e+03
    12     2.006595e+01     5.847952e+02
    13     2.269876e+01     8.828106e+02
    14     3.644798e+02     1.330534e+05
    15     7.558105e+01     5.917398e+03
    16     4.273729e+01     1.983318e+03
    17     3.827984e+01     1.561652e+03
    18     2.612650e+01     7.645697e+02
    19     2.020680e+02     4.091781e+04
    20     1.037400e+02     1.137881e+04
    21     1.533238e+01     5.774889e+02
    22     1.194057e+01     4.863348e+02
    23     1.539810e+01     5.001544e+02
    24     1.822542e+01     6.837231e+02
    25     1.137332e+01     3.890268e+02
    26     1.747445e+01     4.341812e+02
    27     6.681129e+01     4.491106e+03
    28     1.752436e+01     6.021142e+02
    29     2.759456e+01     9.697740e+02
    30     5.778638e+01     3.557018e+03
    31     2.405051e+01     7.883973e+02
    32     1.681445e+01     6.154598e+02
    33     2.089983e+01     9.462185e+02
    34     2.641600e+01     9.314454e+02
    35     7.298324e+01     5.404623e+03
    36     2.826973e+01     8.505588e+02
    37     1.775690e+01     5.090149e+02
    38     2.295376e+01     6.499842e+02
    39     1.646481e+02     2.718969e+04
    40     1.216603e+01     2.725581e+02
    41     3.494510e+01     1.381953e+03
    42     2.191047e+01     6.004545e+02
    43     1.159184e+02     1.352587e+04
    44     1.378638e+02     1.908315e+04
    45     3.645517e+01     1.398469e+03
    46     4.122058e+01     1.821845e+03
    47     1.949873e+01     5.178488e+02
    48     1.212804e+01     3.012744e+02
    49     1.141403e+01     2.723949e+02
    50     2.238213e+01     5.853139e+02
    51     2.269637e+01     6.498052e+02
    52     1.364271e+01     3.742071e+02
    53     1.757867e+02     3.093450e+04
    54     3.537380e+01     1.319498e+03
    55     2.339870e+01     6.986774e+02
    56     2.520704e+01     7.780661e+02
    57     1.978324e+01     5.651457e+02
    58     3.064580e+02     9.405579e+04
    59     1.822535e+01     5.219378e+02
    60     1.880138e+01     4.729876e+02
    61     1.589735e+01     5.855587e+02
    62     1.265576e+01     3.301058e+02
    63     1.646461e+01     3.097373e+02
    64     1.712545e+03     2.932892e+06
    65     6.158943e+01     3.971354e+03
    66     1.908729e+01     4.768293e+02
    67     4.031139e+03     1.625025e+07
    68     3.677326e+01     1.417302e+03
    69     1.628063e+01     5.583878e+02
    70     7.396554e+01     5.650299e+03
    71     2.241433e+01     6.979997e+02
    72     5.682756e+01     3.425425e+03
    73     1.854920e+01     6.947215e+02
    74     1.565073e+01     5.629252e+02
    75     8.970749e+02     8.047850e+05
    76     1.904983e+01     6.100681e+02
    77     9.976179e+00     1.825514e+02
    78     1.311786e+01     5.586811e+02
    79     2.552796e+01     9.178596e+02
    80     1.128462e+01     3.900146e+02
    81     2.187657e+01     6.538904e+02
    82     1.564994e+01     4.326545e+02
    83     3.188919e+01     1.073250e+03
    84     1.626789e+01     5.155645e+02
    85     1.404786e+01     3.523029e+02
    86     6.571595e+01     4.334431e+03
    87     2.025224e+01     8.197051e+02
    88     1.689855e+01     6.806976e+02
    89     2.343768e+01     8.827038e+02
    90     1.656515e+01     5.444319e+02
    91     3.384565e+01     1.364407e+03
    92     1.963173e+01     9.485625e+02
    93     5.539775e+01     3.099455e+03
    94     2.083086e+01     4.433863e+02
    95     7.429104e+00     8.414426e+01
    96     9.998699e+00     1.274421e+02
    97     3.280251e+01     1.161393e+03
    98     2.151378e+01     5.908927e+02
    99     1.657233e+02     2.749828e+04
   100     8.864501e+01     7.902217e+03
   101     1.171463e+01     1.825456e+02
   102     1.466657e+01     5.565069e+02
   103     2.090797e+01     7.453344e+02
   104     2.717159e+02     7.388536e+04
   105     3.088983e+01     1.436521e+03
   106     1.256706e+01     4.235559e+02
   107     2.912467e+01     9.750620e+02
   108     3.679445e+01     1.649453e+03
   109     1.921988e+01     7.053142e+02
   110     2.617101e+03     6.849552e+06
   111     1.728929e+01     6.682728e+02
   112     1.247450e+01     4.701167e+02
   113     1.087361e+02     1.198396e+04
   114     4.210908e+01     1.867200e+03
   115     1.940417e+01     8.617579e+02
   116     3.576083e+02     1.279885e+05
   117     2.908535e+01     1.346342e+03
   118     8.737608e+01     8.104032e+03
   119     4.123635e+01     2.244583e+03
   120     7.826467e+01     6.633359e+03
   121     1.097987e+02     1.255095e+04
